	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
7-13	62	3	PURPLE	7	481	0	CH8_COMBAT_SM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,DRAGON_LADY,CRIMSON_WITCH	[boss]POLEMASTER,NPC_TROLL_BLOB,BARDBARIAN,MEDUSA,NPC_CRYSTAL_GOLEM	FINE_BRIE,SHARD_REEL_SHOVEL,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_DEATH_METAL_BLADE	SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_REEL_THE_MAD_GODS_TRIDENT
7-14	62	3	PURPLE	7	484	0	CH8_COMBAT_SM	NINJA_DWARF,ELECTROYETI	ROLLER_WARRIOR,COSMIC_ELF,NPC_BUFF_SPRITE	BROZERKER,NPC_WILDLING_SNIPER,[boss]BONE_DRAGON,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION	REEL_VAMPIRE_BUNNYEARS,MELTY_CHOCOLATE_BAR,FINE_BRIE,SHARD_REEL_SHOVEL	SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_VORPAL_BOOMERANG,SHARD_REEL_KINDNESS
7-15	63	3	PURPLE	7	488	1	CH8_COMBAT_4	NPC_TROLL_BLOB,NPC_BUFF_SPRITE,MAGIC_DRAGON	NPC_TROLL_BLOB,NPC_TROLL_BLOB,CATAPULT_KNIGHT,COSMIC_ELF,CENTAUR_OF_ATTENTION	BROZERKER,NPC_CRYSTAL_GOLEM,FAITH_HEALER,CRIMSON_WITCH,NPC_WILDLING_ARCHER,[boss]ROLLER_WARRIOR	SHARD_REEL_LEAD_ZEPPELIN,FINE_BRIE,SHARD_REEL_MJOLNIRBY	SHARD_MACE_OF_FRIENDSHIP,REEL_VAMPIRE_BUNNYEARS,SHARD_ADAMANTIUM_TIARA
7-16	63	3	PURPLE	7	491	0	CH8_COMBAT_SM	NPC_GOBLIN,CATAPULT_KNIGHT,NPC_GOBLIN	NPC_STONE_IMP,DARK_DRACUL,ELECTROYETI	NPC_TROLL_BLOB,[boss]POLEMASTER,NPC_BUFF_SPRITE,MEDUSA,BONE_DRAGON	REEL_TEN_FOOT_POLE,SHARD_MUSCLE_WAX,REEL_VAMPIRE_BUNNYEARS,MELTY_CHOCOLATE_BAR	SHARD_GENTLEMENS_CLUB,FOAM_FINGER,LOADED_DIE
7-17	63	3	PURPLE	7	495	0	CH8_COMBAT_SM	NPC_TROLL_BLOB,NPC_TROLL_BLOB,NPC_BUFF_SPRITE	POLEMASTER,BONE_DRAGON,NPC_BUFF_SPRITE	BROZERKER,NINJA_DWARF,[boss]DARK_DRACUL,COSMIC_ELF,ELECTROYETI	SHARD_REEL_THE_1_RING,SHARD_HEAD_BANGER,REEL_TEN_FOOT_POLE,SHARD_MUSCLE_WAX	SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_LASER_POINTER
7-18	64	3	PURPLE	7	497	1	CHALLENGES_MAGIC_IMMUNE	CATAPULT_KNIGHT,ELECTROYETI,NPC_TROLL_BLOB,NPC_ICE_GOLEM	NPC_STONE_IMP,ROLLER_WARRIOR,NPC_ICE_GOLEM,CRIMSON_WITCH,FAITH_HEALER	NPC_TROLL_BLOB,NPC_GOBLIN,POLEMASTER,NPC_BUFF_SPRITE,UNSTABLE_UNDERSTUDY,[boss]BONE_DRAGON	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_REEL_NECRONOMICON,SHARD_REEL_DIPLOMATIC_IMMUNITY	REEL_SIDE_OF_BACON,SHARD_REEL_DEATH_METAL_BLADE,STICK_ON_MOUSTACHE
8-0	63	3	PURPLE	7	499	1	CH9_COMBAT_1	NPC_INFERNO_SPIDER,NPC_BUFF_SPRITE,MEDUSA	DARK_DRACUL,NPC_INFERNO_SPIDER,NPC_ICE_GOLEM,FAITH_HEALER	NPC_INFERNO_SPIDER,POLEMASTER,BROZERKER,NPC_INFERNO_SPIDER,[boss]GROOVY_DRUID	SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,HEMP_BRACELET,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER
8-1	63	3	PURPLE	7	503	0	CH9_COMBAT_SM	ROLLER_WARRIOR,NPC_INFERNO_SPIDER,NPC_TROLL_BLOB	NPC_INFERNO_SPIDER,COSMIC_ELF,ELECTROYETI	[boss]DRAGON_LADY,NPC_BUFF_SPRITE,NPC_WILDLING_SNIPER,NPC_MYSTIC_WILDLING,CENTAUR_OF_ATTENTION	REEL_TEN_FOOT_POLE,COPPER_ORE,SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_ADAMANTIUM_TIARA	SHARD_REEL_LASER_POINTER,SHARD_REEL_THINKING_CAP,GLOVES_OF_CRIT
8-2	63	3	PURPLE	7	506	0	CH9_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_INFERNO_SPIDER,NPC_MYSTIC_WILDLING,UNSTABLE_UNDERSTUDY	DARK_DRACUL,[boss]DRAGON_LADY,BARDBARIAN,NPC_BUFF_SPRITE,NPC_ICE_GOLEM	SHARD_REEL_INTIMIDATING_BEARD,STOLEN_SNEAKERS,BESSIES_BANE,WAND_OF_GOLD_SPARKLES	SHARD_REEL_THE_1_RING,SHARD_SACRED_CODEX,RUBBER_VEST
8-3	64	3	PURPLE	7	508	1	CH9_COMBAT_1	POLEMASTER,NPC_INFERNO_SPIDER,ELECTROYETI,NPC_WILDLING_ARCHER	NPC_TROLL_BLOB,CRIMSON_WITCH,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM	BROZERKER,DRAGON_LADY,ROLLER_WARRIOR,CATAPULT_KNIGHT,[boss]BARDBARIAN	RAW_EGG,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_HAROLDS_HOMEMADE_HALBERD	REEL_SPUD_GUN,REEL_PLASTIC_VAMPIRE_TEETH,BIT_O_NIP
8-4	64	3	PURPLE	7	511	0	CH9_COMBAT_SM	NPC_BUFF_SPRITE,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,NPC_MYSTIC_WILDLING,NPC_CRYSTAL_GOLEM	[boss]POLEMASTER,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM	SHARD_REEL_HAMMER_OF_WICKED_BEATS,CAPTAINS_TIGHTPANTS,STICK_ON_MOUSTACHE,BIT_O_NIP	SHARD_AND_MY_AXE,SHARD_DONT_TASE_ME_BOW,SHARD_STAFF_OF_BOSS_FIGHTING
8-5	65	3	PURPLE	7	515	0	CH9_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER	ROLLER_WARRIOR,NINJA_DWARF,MEDUSA	POLEMASTER,DARK_DRACUL,[boss]BONE_DRAGON,NPC_CRYSTAL_GOLEM,MAGIC_DRAGON,CRIMSON_WITCH	SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_RACING_STRIPES,SHARD_SACRED_CODEX	SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_KINDNESS,RAW_EGG
8-6	66	3	PURPLE	7	517	1	CH9_COMBAT_2	NPC_INFERNO_SPIDER,NPC_GOBLIN,UNSTABLE_UNDERSTUDY,NPC_GOBLIN	BROZERKER,ROLLER_WARRIOR,NPC_BUFF_SPRITE,MAGIC_DRAGON	BARDBARIAN,NPC_WILDLING_SNIPER,NPC_INFERNO_SPIDER,CRIMSON_WITCH,[boss]CENTAUR_OF_ATTENTION	BIT_O_NIP,SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR	SHARD_HEAD_BANGER,SHARD_BUNNY_SLIPPERS,STICK_ON_MOUSTACHE
8-7	66	3	PURPLE	7	520	0	CH9_COMBAT_SM	NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NPC_INFERNO_SPIDER,ELECTROYETI,MAGIC_DRAGON	NINJA_DWARF,NPC_INFERNO_SPIDER,[boss]DRAGON_LADY,BARDBARIAN	REEL_VAMPIRE_BUNNYEARS,SHARD_FRAMED_DIPLOMA,SHARD_REEL_SHOVEL,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR	SHARD_MUSCLE_WAX,DAISY_CHAINSAW,SHARD_REEL_THINKING_CAP
8-8	66	3	PURPLE	7	524	0	CH9_COMBAT_SM	ROLLER_WARRIOR,NPC_BUFF_SPRITE	DRAGON_LADY,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER	NPC_STONE_IMP,NPC_GOBLIN,COSMIC_ELF,[boss]CENTAUR_OF_ATTENTION,NPC_WILDLING_ARCHER	RAW_EGG,MY_FIRST_SHIELD,REEL_TEN_FOOT_POLE,COPPER_ORE	REEL_BAG_O_HAMMERS,SHARD_IMPRACTICAL_CHESTPLATE,REEL_BLOODY_BAT
8-9	67	3	PURPLE	7	526	1	THE_MOUNTAIN_CAVES	BROZERKER,COSMIC_ELF,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_INFERNO_SPIDER,CENTAUR_OF_ATTENTION	NPC_MYSTIC_WILDLING,MEDUSA,NPC_INFERNO_SPIDER,MAGIC_DRAGON,[boss]BONE_DRAGON	CAPTAINS_TIGHTPANTS,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_BOOTS_MADE_FOR_WALKIN	SHARD_REEL_LEAD_ZEPPELIN,SHARD_REEL_KINDNESS,MELTY_CHOCOLATE_BAR
8-10	67	3	PURPLE	7	530	0	CH9_COMBAT_SM	NPC_INFERNO_SPIDER,FAITH_HEALER	BROZERKER,CATAPULT_KNIGHT,BONE_DRAGON,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_BUFF_SPRITE,NPC_MYSTIC_WILDLING,[boss]MAGIC_DRAGON,NPC_WILDLING_ARCHER	SHARD_GENTLEMENS_CLUB,SHARD_DONT_TASE_ME_BOW,SHARD_REEL_INTIMIDATING_BEARD,STOLEN_SNEAKERS	SHARD_VORPAL_BOOMERANG,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION
8-11	68	3	PURPLE	7	533	0	CH9_COMBAT_SM	POLEMASTER,NPC_INFERNO_SPIDER,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	NPC_STONE_IMP,BARDBARIAN,NPC_CRYSTAL_GOLEM,FAITH_HEALER	NPC_INFERNO_SPIDER,BROZERKER,NPC_STONE_IMP,[boss]CRIMSON_WITCH,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER	SHARD_ADAMANTIUM_TIARA,SHARD_REEL_DEATH_METAL_BLADE,SHARD_REEL_HAMMER_OF_WICKED_BEATS,CAPTAINS_TIGHTPANTS	SHARD_REEL_NECRONOMICON,FINE_BRIE,PENETRABLE_ARMOR
8-12	69	3	PURPLE	7	534	1	CH9_COMBAT_4	POLEMASTER,NPC_INFERNO_SPIDER,NPC_WILDLING_ARCHER,NPC_FIRE_IMP	COSMIC_ELF,UNSTABLE_UNDERSTUDY,NPC_BUFF_SPRITE,NPC_INFERNO_SPIDER,CRIMSON_WITCH,NPC_WILDLING_ARCHER	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,[boss]MAGIC_DRAGON	SHARD_DONT_TASE_ME_BOW,SHARD_REEL_DEATH_METAL_BLADE,SHARD_PHILTER_OF_PURE_TESTOSTERONE	REEL_THE_POWER_OF_MEDICINE,REEL_VAMPIRE_BUNNYEARS,BESSIES_BANE
8-13	69	3	PURPLE	7	538	0	CH9_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_ICE_GOLEM	DRAGON_LADY,NPC_BUFF_SPRITE,CATAPULT_KNIGHT	NPC_GOBLIN,[boss]DARK_DRACUL,NPC_WILDLING_SNIPER,ELECTROYETI,NPC_MYSTIC_WILDLING	WAND_OF_GOLD_SPARKLES,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION	SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,REEL_TEN_FOOT_POLE,LOAFERS_OF_ALACRITY
8-14	69	3	PURPLE	7	541	0	CH9_COMBAT_SM	NPC_GOBLIN,ELECTROYETI,NPC_BUFF_SPRITE	NPC_INFERNO_SPIDER,DARK_DRACUL,FAITH_HEALER,CRIMSON_WITCH	NPC_GOBLIN,[boss]NINJA_DWARF,BROZERKER,MEDUSA,BARDBARIAN,NPC_WILDLING_ARCHER	BIT_O_NIP,REEL_GOBLIN_WHACKER,REEL_VAMPIRE_BUNNYEARS,SHARD_FRAMED_DIPLOMA	SHARD_REEL_DIPLOMATIC_IMMUNITY,SHARD_REEL_THE_1_RING,PAPER_CROWN
8-15	70	3	PURPLE	7	544	1	CH9_COMBAT_1	NPC_INFERNO_SPIDER,POLEMASTER,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	DRAGON_LADY,NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,ELECTROYETI,BARDBARIAN	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM,[boss]BONE_DRAGON	GLOVES_OF_CRIT,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_REEL_SUPER_SPIKEY_SPEAR	LOADED_DIE,IRON_ORE,FREE_MANS_CROWBAR,SHARD_REEL_SUPER_SPIKEY_SPEAR
8-16	70	3	PURPLE	7	547	0	CH9_COMBAT_SM	DARK_DRACUL,NPC_WILDLING_ARCHER,MAGIC_DRAGON	NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_INFERNO_SPIDER,FAITH_HEALER,NPC_CRYSTAL_GOLEM,NPC_INFERNO_SPIDER	ROLLER_WARRIOR,NPC_BUFF_SPRITE,[boss]CRIMSON_WITCH,NPC_WILDLING_ARCHER	SHARD_SACRED_CODEX,GLOVES_OF_CRIT,RAW_EGG,MY_FIRST_SHIELD	ARTIFACT_OF_UNIMAGINABLE_POWER,REEL_CHUNKY_FEMUR,ENCHANTED_ELBOW_PADS
8-17	71	3	PURPLE	7	551	0	CH9_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_GOBLIN,NPC_INFERNO_SPIDER	ROLLER_WARRIOR,POLEMASTER,DARK_DRACUL,NPC_WILDLING_ARCHER	[boss]DRAGON_LADY,NPC_GOBLIN,CENTAUR_OF_ATTENTION,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR,SHARD_AND_MY_AXE,SHARD_GENTLEMENS_CLUB,SHARD_DONT_TASE_ME_BOW	SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_HAMMER_OF_WICKED_BEATS,REEL_MAGIC_EIGHT_BALL
8-18	72	3	PURPLE	7	553	1	CH9_COMBAT_1	NPC_INFERNO_SPIDER,BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NINJA_DWARF	NPC_STONE_IMP,DRAGON_LADY,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER,CENTAUR_OF_ATTENTION,NPC_FIRE_IMP	POLEMASTER,UNSTABLE_UNDERSTUDY,ELECTROYETI,NPC_WILDLING_ARCHER,NPC_CRYSTAL_GOLEM,[boss]MAGIC_DRAGON	STICK_ON_MOUSTACHE,SHARD_RACING_STRIPES,SHARD_REEL_SHOVEL	SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_FRAMED_DIPLOMA,REEL_SPARKLE_PONY_KEYCHAIN
9-0	69	3	PURPLE_1	7	555	1	CH10_COMBAT_1	NPC_TROLL_BLOB,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_POTTED_PLANT,NPC_WILDLING_ARCHER	NINJA_DWARF,BARDBARIAN,[boss]CATAPULT_KNIGHT,DRAGON_LADY	REEL_CHUNKY_FEMUR,REEL_PLASTIC_VAMPIRE_TEETH,SHARD_REEL_KINDNESS	SHARD_REEL_DIPLOMATIC_IMMUNITY,SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_SACRED_CODEX
9-1	69	3	PURPLE_1	7	559	0	CH10_COMBAT_SM	DARK_DRACUL,NPC_INFERNO_SPIDER,NPC_MYSTIC_WILDLING	NPC_SCARECROW,NPC_MYSTIC_WILDLING,UNSTABLE_UNDERSTUDY,DUST_DEVIL,NPC_CRYSTAL_GOLEM	MOON_DRAKE,NPC_INFERNO_SPIDER,[boss]POLEMASTER,NPC_BUFF_SPRITE,BARDBARIAN,ELECTROYETI	SHARD_STAFF_OF_BOSS_FIGHTING,REEL_MAGIC_EIGHT_BALL,SHARD_REEL_THINKING_CAP,SHARD_THE_UGLY_STICK	SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR,IRON_ORE,SHARD_BUNNY_SLIPPERS
9-2	70	3	PURPLE_1	7	562	0	CH10_COMBAT_SM	NINJA_DWARF,BARDBARIAN,NPC_WILDLING_SNIPER	DUST_DEVIL,GROOVY_DRUID,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER	[boss]ELECTROYETI,AQUATIC_MAN,CATAPULT_KNIGHT,NPC_ICE_GOLEM	SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_STAFF_OF_BOSS_FIGHTING,REEL_MAGIC_EIGHT_BALL	SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_MACE_OF_FRIENDSHIP,SHARD_REEL_THINKING_CAP
9-3	71	3	PURPLE_1	7	564	1	CH10_COMBAT_2	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_POTTED_PLANT,NPC_POTTED_PLANT,MEDUSA,UNSTABLE_UNDERSTUDY,NPC_SCARECROW,NPC_SCARECROW	DRAGON_LADY,COSMIC_ELF,CATAPULT_KNIGHT,BARDBARIAN,[boss]FAITH_HEALER	SHARD_REEL_THINKING_CAP,SHARD_REEL_LASER_POINTER,SHARD_REEL_GRIEVOUS_BODILY_HARM	SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_GENTLEMENS_CLUB,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_LASER_POINTER,SHARD_REEL_GRIEVOUS_BODILY_HARM
9-4	71	3	PURPLE_1	7	567	0	CH10_COMBAT_SM	NPC_GOBLIN,SHADOW_ASSASSIN,NPC_CRYSTAL_GOLEM	NPC_INFERNO_SPIDER,ELECTROYETI,NPC_HEALER_SPRITE,CATAPULT_KNIGHT	NPC_TROLL_BLOB,NPC_TROLL_BLOB,POLEMASTER,NPC_ICE_GOLEM,[boss]UNSTABLE_UNDERSTUDY,DUST_DEVIL	RUBBER_VEST,COPPER_ORE,SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_DIRK_OF_DISEMBOWELING	REEL_PLASTIC_VAMPIRE_TEETH,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,SHARD_REEL_SUPER_SPIKEY_SPEAR
9-5	71	3	PURPLE_1	7	571	0	CH10_COMBAT_SM	NPC_TROLL_BLOB,NPC_BUFF_SPRITE,CENTAUR_OF_ATTENTION	ROLLER_WARRIOR,NPC_WILDLING_ARCHER,NINJA_DWARF,GROOVY_DRUID,NPC_CRYSTAL_GOLEM	MAGIC_DRAGON,[boss]POLEMASTER,SNAP_DRAGON,NPC_ICE_GOLEM,NPC_TROLL_BLOB	PROTEIN_POWDER,REEL_BLOODY_BAT,RUBBER_VEST,COPPER_ORE	SHARD_DONT_TASE_ME_BOW,REEL_SIDE_OF_BACON,DAISY_CHAINSAW
9-6	72	3	PURPLE_1	7	573	1	CH10_COMBAT_3	POLEMASTER,DARK_DRACUL,MEDUSA,ELECTROYETI	NPC_TROLL_BLOB,NPC_TROLL_BLOB,BONE_DRAGON,BARDBARIAN,FAITH_HEALER,NPC_SCARECROW	NPC_POTTED_PLANT,NPC_INFERNO_SPIDER,DUST_DEVIL,AQUATIC_MAN,NPC_SCARECROW,[boss]SAVAGE_CUTIE	SHARD_THE_UGLY_STICK,PROTEIN_POWDER,PENETRABLE_ARMOR	SHARD_REEL_KINDNESS,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_FRAMED_DIPLOMA
9-7	72	3	PURPLE_1	7	576	0	CH10_COMBAT_SM	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_WILDLING_SNIPER,BONE_DRAGON	BROZERKER,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,CRIMSON_WITCH,NPC_WILDLING_ARCHER	HYDRA,DRAGON_LADY,[boss]DARK_DRACUL,COSMIC_ELF,CENTAUR_OF_ATTENTION,NPC_SCARECROW	PENETRABLE_ARMOR,REEL_SPARKLE_PONY_KEYCHAIN,PROTEIN_POWDER,REEL_BLOODY_BAT	SHARD_BUNNY_SLIPPERS,SHARD_REEL_LASER_POINTER,HEMP_BRACELET
9-8	72	3	PURPLE_1	7	580	0	CH10_COMBAT_SM	NPC_STONE_IMP,NPC_FIRE_IMP,NPC_STONE_IMP,COSMIC_ELF	POLEMASTER,NPC_GOBLIN,NPC_TROLL_BLOB,NPC_SCARECROW,NPC_ICE_GOLEM	ZOMBIE_SQUIRE,SNAP_DRAGON,CENTAUR_OF_ATTENTION,CRIMSON_WITCH,[boss]DUST_DEVIL	SHARD_HAROLDS_HOMEMADE_HALBERD,REEL_BAG_O_HAMMERS,PENETRABLE_ARMOR,REEL_SPARKLE_PONY_KEYCHAIN	DAISY_CHAINSAW,SHARD_REEL_THE_1_RING,SHARD_ADAMANTIUM_TIARA
9-9	73	3	PURPLE_1	7	582	1	CH10_COMBAT_3	NPC_STONE_IMP,COSMIC_ELF,BARDBARIAN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_STONE_IMP,CENTAUR_OF_ATTENTION,NPC_BUFF_SPRITE,NPC_SCARECROW	POLEMASTER,[boss]MEDUSA,BONE_DRAGON,SHADOW_ASSASSIN,FROST_GIANT	REEL_SPUD_GUN,SHARD_BUNNY_SLIPPERS,SHARD_REEL_DIPLOMATIC_IMMUNITY	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_REEL_LASER_POINTER,YA_VAMPIRE_SERIES
9-10	73	3	PURPLE_1	7	586	0	CH10_COMBAT_SM	CATAPULT_KNIGHT,ELECTROYETI,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE	HYDRA,MEDUSA,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM,NPC_ICE_GOLEM	ROLLER_WARRIOR,NPC_POTTED_PLANT,NPC_CRYSTAL_GOLEM,MAGIC_DRAGON,[boss]FAITH_HEALER,NPC_SCARECROW	YA_VAMPIRE_SERIES,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_HAROLDS_HOMEMADE_HALBERD,REEL_BAG_O_HAMMERS	SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_AND_MY_AXE,BANJO_OF_DUELING
9-11	73	3	PURPLE_1	7	589	0	CH10_COMBAT_SM	NINJA_DWARF,DARK_DRACUL,BARDBARIAN,NPC_WILDLING_ARCHER	SNAP_DRAGON,AQUATIC_MAN,COSMIC_ELF,FAITH_HEALER	DRAGON_LADY,ELECTROYETI,MEDUSA,SHADOW_ASSASSIN,[boss]HYDRA	REEL_SPUD_GUN,LOAFERS_OF_ALACRITY,YA_VAMPIRE_SERIES,SHARD_PHILTER_OF_PURE_TESTOSTERONE	SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_HEAD_BANGER,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION
9-12	74	3	PURPLE_1	7	590	1	CH10_COMBAT_4	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,DARK_DRACUL,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,CRIMSON_WITCH,NPC_SCARECROW,NPC_SCARECROW,NPC_SCARECROW	NPC_TROLL_BLOB,NPC_POTTED_PLANT,GROOVY_DRUID,NPC_CRYSTAL_GOLEM,[boss]SAVAGE_CUTIE	SHARD_THE_UGLY_STICK,REEL_MAGIC_EIGHT_BALL,SHARD_REEL_DIRK_OF_DISEMBOWELING	SHARD_REEL_THE_1_RING,SHARD_MUSCLE_WAX,SHARD_VORPAL_BOOMERANG,SHARD_REEL_DIRK_OF_DISEMBOWELING
9-13	74	3	PURPLE_1	7	594	0	CH10_COMBAT_SM	NPC_INFERNO_SPIDER,ZOMBIE_SQUIRE,COSMIC_ELF,NPC_WILDLING_ARCHER	NPC_TROLL_BLOB,CENTAUR_OF_ATTENTION,NPC_CRYSTAL_GOLEM,MAGIC_DRAGON,NPC_CRYSTAL_GOLEM	NPC_STONE_IMP,CATAPULT_KNIGHT,GROOVY_DRUID,[boss]MOON_DRAKE,NPC_ICE_GOLEM	SHARD_BUNNY_SLIPPERS,SHARD_REEL_THE_MAD_GODS_TRIDENT,REEL_SPUD_GUN,LOAFERS_OF_ALACRITY	REEL_VAMPIRE_BUNNYEARS,REEL_BAG_O_HAMMERS,NONSTICK_SHIELD
9-14	74	3	PURPLE_1	7	597	0	CH10_COMBAT_SM	NINJA_DWARF,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE,NPC_ICE_GOLEM	SNAP_DRAGON,NPC_INFERNO_SPIDER,NPC_TROLL_BLOB,UNSTABLE_UNDERSTUDY	ROLLER_WARRIOR,POLEMASTER,[boss]SHADOW_ASSASSIN,MOON_DRAKE,FAITH_HEALER	SHARD_BOOTS_MADE_FOR_WALKIN,BANJO_OF_DUELING,SHARD_BUNNY_SLIPPERS,SHARD_REEL_THE_MAD_GODS_TRIDENT	REEL_TEN_FOOT_POLE,SHARD_REEL_LEAD_ZEPPELIN,SHARD_REEL_DIPLOMATIC_IMMUNITY
9-15	75	3	PURPLE_1	7	600	1	CH10_COMBAT_3	NPC_FIRE_IMP,BARDBARIAN,ELECTROYETI,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_SCARECROW	NPC_TROLL_BLOB,MEDUSA,DARK_DRACUL,[boss]GROOVY_DRUID,MOON_DRAKE	REEL_SPARKLE_PONY_KEYCHAIN,REEL_BAG_O_HAMMERS,SHARD_REEL_LIFEDRINKER	SHARD_VORPAL_BOOMERANG,SHARD_SACRED_CODEX,SHARD_REEL_DIRK_OF_DISEMBOWELING
