	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
7-9	64	5	PURPLE	14	1	469	DRAGON_LADY,NPC_TROLL_BLOB,CATAPULT_KNIGHT	ROLLER_WARRIOR,NPC_BUFF_SPRITE,FAITH_HEALER,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER	BROZERKER,NPC_STONE_IMP,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION,NPC_WILDLING_ARCHER,[boss]BONE_DRAGON	SHARD_REEL_INTIMIDATING_BEARD,DAISY_CHAINSAW,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR	IRON_ORE,SHARD_REEL_INTIMIDATING_BEARD,REEL_GOBLIN_WHACKER
7-12	65	5	PURPLE	14	1	477	NPC_TROLL_BLOB,MEDUSA,NPC_WILDLING_ARCHER	DARK_DRACUL,NPC_TROLL_BLOB,NPC_TROLL_BLOB,NPC_TROLL_BLOB	NINJA_DWARF,NPC_TROLL_BLOB,[boss]DARK_HORSE,BARDBARIAN,NPC_FIRE_IMP,SHADOW_ASSASSIN	SHARD_REEL_DECODER_RING,SHARD_REEL_DEATH_METAL_BLADE,SHARD_REEL_SHOVEL	SHARD_REEL_INTIMIDATING_BEARD,BANJO_OF_DUELING,FOAM_FINGER,SHARD_REEL_DECODER_RING
7-15	66	5	PURPLE	14	1	488	NPC_TROLL_BLOB,NPC_BUFF_SPRITE,MAGIC_DRAGON	NPC_TROLL_BLOB,NPC_TROLL_BLOB,CATAPULT_KNIGHT,COSMIC_ELF,CENTAUR_OF_ATTENTION	BROZERKER,NPC_CRYSTAL_GOLEM,FAITH_HEALER,CRIMSON_WITCH,NPC_WILDLING_ARCHER,[boss]ROLLER_WARRIOR	SHARD_REEL_LEAD_ZEPPELIN,FINE_BRIE,SHARD_REEL_MJOLNIRBY	SHARD_MACE_OF_FRIENDSHIP,REEL_VAMPIRE_BUNNYEARS,SHARD_ADAMANTIUM_TIARA
7-18	67	5	PURPLE	14	1	497	CATAPULT_KNIGHT,ELECTROYETI,NPC_TROLL_BLOB,NPC_ICE_GOLEM	NPC_STONE_IMP,ROLLER_WARRIOR,NPC_ICE_GOLEM,CRIMSON_WITCH,FAITH_HEALER	NPC_TROLL_BLOB,NPC_GOBLIN,POLEMASTER,NPC_BUFF_SPRITE,UNSTABLE_UNDERSTUDY,[boss]BONE_DRAGON	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_REEL_NECRONOMICON,SHARD_REEL_DIPLOMATIC_IMMUNITY	REEL_SIDE_OF_BACON,SHARD_REEL_DEATH_METAL_BLADE,STICK_ON_MOUSTACHE
8-0	67	5	PURPLE	14	1	499	NPC_INFERNO_SPIDER,NPC_BUFF_SPRITE,MEDUSA	DARK_DRACUL,NPC_INFERNO_SPIDER,NPC_ICE_GOLEM,FAITH_HEALER	NPC_INFERNO_SPIDER,POLEMASTER,BROZERKER,NPC_INFERNO_SPIDER,[boss]GROOVY_DRUID	SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,HEMP_BRACELET,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER
8-3	68	5	PURPLE	14	1	508	POLEMASTER,NPC_INFERNO_SPIDER,ELECTROYETI,NPC_WILDLING_ARCHER	NPC_TROLL_BLOB,CRIMSON_WITCH,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM	BROZERKER,DRAGON_LADY,ROLLER_WARRIOR,CATAPULT_KNIGHT,[boss]BARDBARIAN	RAW_EGG,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_HAROLDS_HOMEMADE_HALBERD	REEL_SPUD_GUN,REEL_PLASTIC_VAMPIRE_TEETH,BIT_O_NIP
8-6	68	5	PURPLE	14	1	517	NPC_INFERNO_SPIDER,NPC_GOBLIN,UNSTABLE_UNDERSTUDY,NPC_GOBLIN	BROZERKER,ROLLER_WARRIOR,NPC_BUFF_SPRITE,MAGIC_DRAGON	BARDBARIAN,NPC_WILDLING_SNIPER,NPC_INFERNO_SPIDER,CRIMSON_WITCH,[boss]CENTAUR_OF_ATTENTION	BIT_O_NIP,SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR	SHARD_HEAD_BANGER,SHARD_BUNNY_SLIPPERS,STICK_ON_MOUSTACHE
8-9	69	5	PURPLE	14	1	526	BROZERKER,COSMIC_ELF,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_INFERNO_SPIDER,CENTAUR_OF_ATTENTION	NPC_MYSTIC_WILDLING,MEDUSA,NPC_INFERNO_SPIDER,MAGIC_DRAGON,[boss]BONE_DRAGON	CAPTAINS_TIGHTPANTS,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_BOOTS_MADE_FOR_WALKIN	SHARD_REEL_LEAD_ZEPPELIN,SHARD_REEL_KINDNESS,MELTY_CHOCOLATE_BAR
8-12	69	5	PURPLE	14	1	534	POLEMASTER,NPC_INFERNO_SPIDER,NPC_WILDLING_ARCHER,NPC_FIRE_IMP	COSMIC_ELF,UNSTABLE_UNDERSTUDY,NPC_BUFF_SPRITE,NPC_INFERNO_SPIDER,CRIMSON_WITCH,NPC_WILDLING_ARCHER	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,[boss]MAGIC_DRAGON	SHARD_DONT_TASE_ME_BOW,SHARD_REEL_DEATH_METAL_BLADE,SHARD_PHILTER_OF_PURE_TESTOSTERONE	REEL_THE_POWER_OF_MEDICINE,REEL_VAMPIRE_BUNNYEARS,BESSIES_BANE
8-15	70	5	PURPLE	14	1	544	NPC_INFERNO_SPIDER,POLEMASTER,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	DRAGON_LADY,NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,ELECTROYETI,BARDBARIAN	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM,[boss]BONE_DRAGON	GLOVES_OF_CRIT,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_REEL_SUPER_SPIKEY_SPEAR	LOADED_DIE,IRON_ORE,FREE_MANS_CROWBAR,SHARD_REEL_SUPER_SPIKEY_SPEAR
8-18	70	5	PURPLE	14	1	553	NPC_INFERNO_SPIDER,BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NINJA_DWARF	NPC_STONE_IMP,DRAGON_LADY,NPC_CRYSTAL_GOLEM,NPC_WILDLING_ARCHER,CENTAUR_OF_ATTENTION,NPC_FIRE_IMP	POLEMASTER,UNSTABLE_UNDERSTUDY,ELECTROYETI,NPC_WILDLING_ARCHER,NPC_CRYSTAL_GOLEM,[boss]MAGIC_DRAGON	STICK_ON_MOUSTACHE,SHARD_RACING_STRIPES,SHARD_REEL_SHOVEL	SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_FRAMED_DIPLOMA,REEL_SPARKLE_PONY_KEYCHAIN
9-0	71	5	PURPLE_1	14	1	555	NPC_TROLL_BLOB,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_POTTED_PLANT,NPC_WILDLING_ARCHER	NINJA_DWARF,BARDBARIAN,[boss]CATAPULT_KNIGHT,DRAGON_LADY	REEL_CHUNKY_FEMUR,REEL_PLASTIC_VAMPIRE_TEETH,SHARD_REEL_KINDNESS	SHARD_REEL_DIPLOMATIC_IMMUNITY,SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_SACRED_CODEX
9-3	72	5	PURPLE_1	14	1	564	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_POTTED_PLANT,NPC_POTTED_PLANT,MEDUSA,UNSTABLE_UNDERSTUDY,NPC_SCARECROW,NPC_SCARECROW	DRAGON_LADY,COSMIC_ELF,CATAPULT_KNIGHT,BARDBARIAN,[boss]FAITH_HEALER	SHARD_REEL_THINKING_CAP,SHARD_REEL_LASER_POINTER,SHARD_REEL_GRIEVOUS_BODILY_HARM	SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_GENTLEMENS_CLUB,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_LASER_POINTER,SHARD_REEL_GRIEVOUS_BODILY_HARM
9-6	73	5	PURPLE_1	14	1	573	POLEMASTER,DARK_DRACUL,MEDUSA,ELECTROYETI	NPC_TROLL_BLOB,NPC_TROLL_BLOB,BONE_DRAGON,BARDBARIAN,FAITH_HEALER,NPC_SCARECROW	NPC_POTTED_PLANT,NPC_INFERNO_SPIDER,DUST_DEVIL,AQUATIC_MAN,NPC_SCARECROW,[boss]SAVAGE_CUTIE	SHARD_THE_UGLY_STICK,PROTEIN_POWDER,PENETRABLE_ARMOR	SHARD_REEL_KINDNESS,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_FRAMED_DIPLOMA
9-9	74	5	PURPLE_1	14	1	582	NPC_STONE_IMP,COSMIC_ELF,BARDBARIAN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_STONE_IMP,CENTAUR_OF_ATTENTION,NPC_BUFF_SPRITE,NPC_SCARECROW	POLEMASTER,[boss]MEDUSA,BONE_DRAGON,SHADOW_ASSASSIN,FROST_GIANT	REEL_SPUD_GUN,SHARD_BUNNY_SLIPPERS,SHARD_REEL_DIPLOMATIC_IMMUNITY	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_REEL_LASER_POINTER,YA_VAMPIRE_SERIES
9-12	74	5	PURPLE_1	14	1	590	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,DARK_DRACUL,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,CRIMSON_WITCH,NPC_SCARECROW,NPC_SCARECROW,NPC_SCARECROW	NPC_TROLL_BLOB,NPC_POTTED_PLANT,GROOVY_DRUID,NPC_CRYSTAL_GOLEM,[boss]SAVAGE_CUTIE	SHARD_THE_UGLY_STICK,REEL_MAGIC_EIGHT_BALL,SHARD_REEL_DIRK_OF_DISEMBOWELING	SHARD_REEL_THE_1_RING,SHARD_MUSCLE_WAX,SHARD_VORPAL_BOOMERANG,SHARD_REEL_DIRK_OF_DISEMBOWELING
9-15	75	5	PURPLE_1	14	1	600	NPC_FIRE_IMP,BARDBARIAN,ELECTROYETI,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_SCARECROW	NPC_TROLL_BLOB,MEDUSA,DARK_DRACUL,[boss]GROOVY_DRUID,MOON_DRAKE	REEL_SPARKLE_PONY_KEYCHAIN,REEL_BAG_O_HAMMERS,SHARD_REEL_LIFEDRINKER	SHARD_VORPAL_BOOMERANG,SHARD_SACRED_CODEX,SHARD_REEL_DIRK_OF_DISEMBOWELING
9-18	75	5	PURPLE_1	14	1	609	NPC_INFERNO_SPIDER,NPC_INFERNO_SPIDER,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM,NPC_SCARECROW	BROZERKER,DRAGON_LADY,NINJA_DWARF,NPC_SCARECROW,NPC_SCARECROW,NPC_SCARECROW	ROLLER_WARRIOR,NPC_POTTED_PLANT,CRIMSON_WITCH,BONE_DRAGON,FAITH_HEALER,[boss]SAVAGE_CUTIE	SHARD_REEL_THE_MAD_GODS_TRIDENT,BANJO_OF_DUELING,SHARD_REEL_BIG_STABBY_SPEAR	SHARD_THE_UGLY_STICK,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,WAND_OF_GOLD_SPARKLES
10-0	76	5	PURPLE_2	14	1	610	NPC_POTTED_PLANT,UNSTABLE_UNDERSTUDY,BARDBARIAN	NPC_INFERNO_SPIDER,NPC_KAMIKAZE_GNOME,NPC_WILDLING_ARCHER	NPC_TROLL_BLOB,DARK_HORSE,NINJA_DWARF,[boss]CENTAUR_OF_ATTENTION,CRIMSON_WITCH	SHARD_REEL_THE_1_RING,SHARD_REEL_POCKET_PROTECTOR,SHARD_DEAD_EYE	SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_THE_1_RING,SHARD_REEL_THE_1_RING
10-3	77	5	PURPLE_2	14	1	617	NPC_KAMIKAZE_GNOME,NPC_SCARECROW,SHADOW_ASSASSIN,NPC_WILDLING_ARCHER	NPC_TROLL_BLOB,DRAGON_LADY,UNSTABLE_UNDERSTUDY,MAGIC_DRAGON	NPC_MR_SMASHY,DARK_DRACUL,HYDRA,[boss]ROLLER_WARRIOR,MEDUSA	SHARD_REEL_DECODER_RING,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_WIZARDY_FOR_IDIOTS	SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_REEL_DECODER_RING,SHARD_REEL_DECODER_RING,SHARD_REEL_DECODER_RING,SHARD_REEL_DECODER_RING
10-6	78	5	PURPLE_2	14	1	624	DRAGON_LADY,NPC_GOBLIN,HYDRA,NPC_CRYSTAL_GOLEM	NPC_MR_SMASHY,NPC_MR_SMASHY,GROOVY_DRUID,FAITH_HEALER,MOON_DRAKE	DARK_HORSE,NPC_KAMIKAZE_GNOME,[boss]SPIKEY_DRAGON,CENTAUR_OF_ATTENTION,SHADOW_ASSASSIN	SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_REEL_MJOLNIRBY,SHARD_LIGER_BALM	SHARD_REEL_MJOLNIRBY,SHARD_REEL_SUPER_SPIKEY_SPEAR,SHARD_REEL_SUPER_SPIKEY_SPEAR
10-9	79	5	PURPLE_2	14	1	631	ZOMBIE_SQUIRE,DARK_DRACUL,NPC_HEALER_SPRITE,NPC_MYSTIC_WILDLING,COSMIC_ELF	NPC_KAMIKAZE_GNOME,CATAPULT_KNIGHT,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER	BROZERKER,[boss]MEDUSA,FROST_GIANT,CRIMSON_WITCH,FAITH_HEALER	SHARD_MACE_OF_FRIENDSHIP,SHARD_IMPRACTICAL_CHESTPLATE,SHARD_LOST_DISK_OF_POWER	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_IMPRACTICAL_CHESTPLATE,SHARD_MACE_OF_FRIENDSHIP,SHARD_MACE_OF_FRIENDSHIP,SHARD_MACE_OF_FRIENDSHIP,SHARD_MACE_OF_FRIENDSHIP
10-12	79	5	PURPLE_2	14	1	639	DRAGON_LADY,SNAP_DRAGON,DUST_DEVIL,NPC_BUFF_SPRITE,MOON_DRAKE	NPC_POTTED_PLANT,NPC_KAMIKAZE_GNOME,NPC_BUFF_SPRITE,MEDUSA,NPC_ICE_GOLEM	NPC_TROLL_BLOB,NINJA_DWARF,MINOTAUR,NPC_SCARECROW,[boss]SPIKEY_DRAGON	SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_FRAMED_DIPLOMA,SHARD_REEL_DRAGON_SCALE	SHARD_FRAMED_DIPLOMA,SHARD_FRAMED_DIPLOMA,SHARD_REEL_DIRK_OF_DISEMBOWELING,SHARD_REEL_DIRK_OF_DISEMBOWELING
10-15	80	5	PURPLE_2	14	1	646	SPIKEY_DRAGON,SNAP_DRAGON,ROLLER_WARRIOR,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER	POLEMASTER,NINJA_DWARF,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM	DRUIDINATRIX,DARK_HORSE,[boss]SAVAGE_CUTIE,GROOVY_DRUID,HYDRA,AQUATIC_MAN	REEL_THE_POWER_OF_MEDICINE,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,SHARD_REEL_CHUGG_BOOTS	SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,REEL_THE_POWER_OF_MEDICINE,REEL_THE_POWER_OF_MEDICINE,REEL_THE_POWER_OF_MEDICINE,REEL_THE_POWER_OF_MEDICINE
10-18	80	5	PURPLE_2	14	1	653	NPC_KAMIKAZE_GNOME,NPC_KAMIKAZE_GNOME,AQUATIC_MAN,NPC_HEALER_SPRITE,MOON_DRAKE	NPC_TROLL_BLOB,NPC_MR_SMASHY,MEDUSA,BONE_DRAGON,SHADOW_ASSASSIN	POLEMASTER,DRUIDINATRIX,[boss]SPIKEY_DRAGON,CRIMSON_WITCH,FAITH_HEALER	COPPER_ORE,SHARD_VORPAL_BOOMERANG,SHARD_REEL_BLACKSTEEL_BLADE	SHARD_VORPAL_BOOMERANG,SHARD_VORPAL_BOOMERANG
11-0	81	5	PURPLE_3	14	1	655	NPC_CAULDRON_MONSTER,NPC_HEALER_SPRITE,NPC_SQUID,NPC_SQUID	BROZERKER,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM,DRAGON_LADY	MINOTAUR,NPC_BUFF_SPRITE,AQUATIC_MAN,MOON_DRAKE,[boss]MAGIC_DRAGON	SHARD_REEL_SHOVEL,SHARD_REEL_LIFEDRINKER,SHARD_HIGH_TEA	SHARD_REEL_LIFEDRINKER,SHARD_REEL_SHOVEL,SHARD_REEL_SHOVEL
11-3	82	5	PURPLE_3	14	1	660	DRAGON_LADY,NPC_CAULDRON_MONSTER,NPC_MYSTIC_WILDLING,NPC_CRYSTAL_GOLEM	NPC_CAULDRON_MONSTER,DARK_DRACUL,SNAP_DRAGON,CENTAUR_OF_ATTENTION	NPC_CAULDRON_MONSTER,DUST_DEVIL,SHADOW_ASSASSIN,GROOVY_DRUID,CRIMSON_WITCH,[boss]POLEMASTER	SHARD_GENTLEMENS_CLUB,SHARD_REEL_BIG_STABBY_SPEAR,SHARD_PETER_PIPERS_PEPPER_SPRAY	SHARD_REEL_BIG_STABBY_SPEAR,SHARD_GENTLEMENS_CLUB,SHARD_GENTLEMENS_CLUB,SHARD_GENTLEMENS_CLUB,SHARD_GENTLEMENS_CLUB
11-6	83	5	PURPLE_3	14	1	667	NINJA_DWARF,NPC_FIRE_IMP,NPC_SQUID	NPC_CAULDRON_MONSTER,SNAP_DRAGON,ROLLER_WARRIOR,BARDBARIAN,UNSTABLE_UNDERSTUDY	NPC_MR_SMASHY,DARK_DRACUL,BONE_DRAGON,[boss]RABID_DRAGON,FROST_GIANT	SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_GRIEVOUS_BODILY_HARM,SHARD_RING_OF_THE_SQUIRREL	SHARD_REEL_GRIEVOUS_BODILY_HARM,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_REEL_HAMMER_OF_WICKED_BEATS
11-9	84	5	PURPLE_3	14	1	674	SAVAGE_CUTIE,NPC_MR_SMASHY,GROOVY_DRUID,NPC_ICE_GOLEM	NPC_MYSTIC_WILDLING,ELECTROYETI,CENTAUR_OF_ATTENTION,NPC_ICE_GOLEM,FROST_GIANT	[boss]ROLLER_WARRIOR,AQUATIC_MAN,HYDRA,BARDBARIAN,SPIKEY_DRAGON,CRIMSON_WITCH	SHARD_AND_MY_AXE,MELTY_CHOCOLATE_BAR,SHARD_EXTREME_FAD_DIET	MELTY_CHOCOLATE_BAR,MELTY_CHOCOLATE_BAR,SHARD_AND_MY_AXE,SHARD_AND_MY_AXE,SHARD_AND_MY_AXE,SHARD_AND_MY_AXE
11-12	84	5	PURPLE_3	14	1	680	NPC_FIRE_IMP,DARK_DRACUL,NPC_GOBLIN,BONE_DRAGON	NPC_KAMIKAZE_GNOME,ZOMBIE_SQUIRE,UNSTABLE_UNDERSTUDY,NPC_WILDLING_SNIPER,NPC_SCARECROW	NPC_TROLL_BLOB,COSMIC_ELF,FROST_GIANT,[boss]RABID_DRAGON,SHADOW_ASSASSIN	SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR,SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_YODELING_SWORD	SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR
11-15	85	5	PURPLE_3	14	1	687	DRAGON_LADY,HYDRA,CENTAUR_OF_ATTENTION,NPC_HEALER_SPRITE	UNSTABLE_UNDERSTUDY,BARDBARIAN,GROOVY_DRUID,FAITH_HEALER,MOON_DRAKE	SNAP_DRAGON,NPC_KAMIKAZE_GNOME,SAVAGE_CUTIE,DUST_DEVIL,MAGIC_DRAGON,[boss]DRUIDINATRIX	SHARD_MUSCLE_WAX,SHARD_ADAMANTIUM_TIARA,SHARD_REEL_POWER_OF_SCIENCE	SHARD_ADAMANTIUM_TIARA,SHARD_ADAMANTIUM_TIARA,SHARD_MUSCLE_WAX,SHARD_MUSCLE_WAX,SHARD_MUSCLE_WAX,SHARD_MUSCLE_WAX
11-18	85	5	PURPLE_3	14	1	693	ROLLER_WARRIOR,NPC_CAULDRON_MONSTER,UNSTABLE_UNDERSTUDY,NPC_WILDLING_SNIPER	POLEMASTER,DRAGON_LADY,NPC_SQUID,NPC_BUFF_SPRITE,MEDUSA	ZOMBIE_SQUIRE,DRUIDINATRIX,HYDRA,[boss]RABID_DRAGON,CRIMSON_WITCH	COPPER_ORE,SHARD_HEAD_BANGER,SHARD_REEL_GIRDLE_OF_VICTORY	SHARD_HEAD_BANGER,SHARD_HEAD_BANGER
12-0	86	5	PURPLE_4	14	1	694	SAVAGE_CUTIE,NPC_SKELETON_DEER,BONE_DRAGON,NPC_MUSHROOM	NPC_MR_SMASHY,DUST_DEVIL,MAGIC_DRAGON,FAITH_HEALER	MINOTAUR,[boss]DRUIDINATRIX,NPC_TROLL_BLOB,UNSTABLE_UNDERSTUDY,SPIKEY_DRAGON	SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_REEL_CHUGG_BOOTS,SHARD_WAR_SANDALS,FREE_MANS_CROWBAR	SHARD_REEL_CHUGG_BOOTS,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
12-3	87	5	PURPLE_4	14	1	701	NPC_MR_SMASHY,DARK_DRACUL,BONE_DRAGON,NPC_SKELETON_DEER	SAVAGE_CUTIE,NPC_INFERNO_SPIDER,DARK_HORSE,RABID_DRAGON,NPC_MUSHROOM	AQUATIC_MAN,NPC_SKELETON_DEER,HYDRA,MOON_DRAKE,FAITH_HEALER,[boss]MAGIC_DRAGON	SHARD_SACRED_CODEX,SHARD_REEL_DRAGON_SCALE,SHARD_PHOTO_BOMB	SHARD_REEL_DRAGON_SCALE,SHARD_SACRED_CODEX,SHARD_SACRED_CODEX,SHARD_SACRED_CODEX,SHARD_SACRED_CODEX
12-6	88	5	PURPLE_4	14	1	708	DRUIDINATRIX,ELECTROYETI,CRIMSON_WITCH,MOON_DRAKE	NPC_FIRE_IMP,NPC_POTTED_PLANT,CATAPULT_KNIGHT,SPIKEY_DRAGON,DWARVEN_ARCHER	NPC_SKELETON_DEER,NPC_KAMIKAZE_GNOME,BROZERKER,NPC_HEALER_SPRITE,[boss]MEDUSA,STORM_DRAGON	SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_BLACKSTEEL_BLADE,SHARD_SELF_PRESERVER,FREE_MANS_CROWBAR	SHARD_REEL_BLACKSTEEL_BLADE,SHARD_REEL_POCKET_PROTECTOR,SHARD_REEL_POCKET_PROTECTOR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
12-9	89	5	PURPLE_4	14	1	714	MINOTAUR,DRAGON_LADY,NPC_SQUID,DWARVEN_ARCHER,SPIKEY_DRAGON	NPC_TROLL_BLOB,DRUIDINATRIX,BONE_DRAGON,ELECTROYETI,HYDRA,NPC_MUSHROOM	ORC_MONK,BARDBARIAN,MAGIC_DRAGON,MOON_DRAKE,FAITH_HEALER,[boss]STORM_DRAGON	SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_ANTI_MAGIC_SHIELD	SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_STAFF_OF_BOSS_FIGHTING
12-12	89	5	PURPLE_4	14	1	721	NPC_SKELETON_DEER,DRUIDINATRIX,NPC_MR_SMASHY,SAVAGE_CUTIE,NPC_BUFF_SPRITE,NPC_MUSHROOM	BROZERKER,NPC_POTTED_PLANT,NPC_FIRE_IMP,UNSTABLE_UNDERSTUDY,RABID_DRAGON,NPC_ICE_GOLEM	NPC_STONE_IMP,CATAPULT_KNIGHT,NPC_SCARECROW,NPC_MUSHROOM,[boss]STORM_DRAGON	SHARD_REEL_MJOLNIRBY,REEL_TEN_FOOT_POLE,SHARD_REEL_MYSTICAL_ELVEN_JUNK	REEL_TEN_FOOT_POLE,REEL_TEN_FOOT_POLE,SHARD_REEL_MJOLNIRBY,SHARD_REEL_MJOLNIRBY
12-15	90	5	PURPLE_4	14	1	728	NPC_KAMIKAZE_GNOME,NPC_KAMIKAZE_GNOME,NINJA_DWARF,NPC_CAULDRON_MONSTER,FAITH_HEALER,DWARVEN_ARCHER	NPC_STONE_IMP,ORC_MONK,POLEMASTER,RABID_DRAGON,NPC_HEALER_SPRITE,NPC_MUSHROOM	MINOTAUR,NPC_CAULDRON_MONSTER,NPC_WILDLING_SNIPER,DUST_DEVIL,AQUATIC_MAN,[boss]STORM_DRAGON	SHARD_RACING_STRIPES,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_REEL_RATTLING_SABRE	SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_RACING_STRIPES,SHARD_RACING_STRIPES,SHARD_RACING_STRIPES,SHARD_RACING_STRIPES
12-18	90	5	PURPLE_4	14	1	734	NPC_TROLL_BLOB,NPC_HEALER_SPRITE,RABID_DRAGON,FROST_GIANT,CENTAUR_OF_ATTENTION,NPC_MUSHROOM	NPC_KAMIKAZE_GNOME,NPC_KAMIKAZE_GNOME,DARK_HORSE,NPC_SKELETON_DEER,CRIMSON_WITCH,FAITH_HEALER	NPC_STONE_IMP,DARK_DRACUL,NPC_SKELETON_DEER,[boss]SPIKEY_DRAGON,NINJA_DWARF,ROLLER_WARRIOR	COPPER_ORE,SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_REEL_JAR_OF_KITTEN_TEAR	SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_HAROLDS_HOMEMADE_HALBERD
