	HERO	BONUS	MAGNITUDE
255	CYCLOPS_WIZARD	ELECTRICAL_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
256	CYCLOPS_WIZARD	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
257	CYCLOPS_WIZARD	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
258	PIRATE	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
259	PIRATE	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
260	PIRATE	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
261	PIRATE	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
262	PIRATE	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
263	PIRATE	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
264	DEEP_DRAGON	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
265	DEEP_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
266	DEEP_DRAGON	WATER_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
267	DEEP_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
268	DEEP_DRAGON	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
269	DEEP_DRAGON	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
270	DOPPELGANGER	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
271	DOPPELGANGER	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
272	DOPPELGANGER	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
273	DOPPELGANGER	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
274	DOPPELGANGER	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
275	DOPPELGANGER	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
276	KRAKEN_KING	STRENGTH	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
277	KRAKEN_KING	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
278	KRAKEN_KING	ATTACK_DAMAGE	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
279	KRAKEN_KING	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
280	KRAKEN_KING	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
281	KRAKEN_KING	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
282	STOWAWAY	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
283	STOWAWAY	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
284	STOWAWAY	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
285	STOWAWAY	PIERCING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
286	STOWAWAY	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
287	STOWAWAY	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
288	CURSED_STATUE	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
289	CURSED_STATUE	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
290	CURSED_STATUE	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
291	CURSED_STATUE	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
292	CURSED_STATUE	ATTACK_DAMAGE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
293	CURSED_STATUE	ELECTRICAL_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
294	PLANT_SOUL	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
295	PLANT_SOUL	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
296	PLANT_SOUL	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
297	PLANT_SOUL	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
298	PLANT_SOUL	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
299	PLANT_SOUL	SLASHING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
300	SPIDER_QUEEN	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
301	SPIDER_QUEEN	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
302	SPIDER_QUEEN	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
303	SPIDER_QUEEN	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
304	SPIDER_QUEEN	TOXIC_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
305	SPIDER_QUEEN	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
306	VULTURE_DRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
307	VULTURE_DRAGON	TOXIC_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
308	VULTURE_DRAGON	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
309	VULTURE_DRAGON	SLASHING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
310	VULTURE_DRAGON	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
311	VULTURE_DRAGON	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
312	BANSHEE	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
313	BANSHEE	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
314	BANSHEE	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
315	BANSHEE	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
316	BANSHEE	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
317	BANSHEE	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
318	RAGING_REVENANT	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
319	RAGING_REVENANT	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
320	RAGING_REVENANT	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
321	RAGING_REVENANT	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
322	RAGING_REVENANT	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
323	RAGING_REVENANT	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
324	SILENT_SPIRIT	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
325	SILENT_SPIRIT	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
326	SILENT_SPIRIT	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
327	SILENT_SPIRIT	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
328	SILENT_SPIRIT	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
329	SILENT_SPIRIT	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
330	SPECTRAL_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
331	SPECTRAL_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
332	SPECTRAL_DRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
333	SPECTRAL_DRAGON	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
334	SPECTRAL_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
335	SPECTRAL_DRAGON	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
336	WEREDRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
337	WEREDRAGON	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
338	WEREDRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
339	WEREDRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
340	WEREDRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
341	WEREDRAGON	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
342	DUNGEON_MAN	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
343	DUNGEON_MAN	STARTING_ENERGY	0.6*(6S-2+(2^S)+(L+(L>14)*2)*S)
344	DUNGEON_MAN	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
345	DUNGEON_MAN	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
346	DUNGEON_MAN	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
347	DUNGEON_MAN	PHYSICAL_CRIT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
348	WEE_WITCH	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
349	WEE_WITCH	DODGE	0.12*(6S-2+(2^S)+(L+(L>14)*2)*S)
350	WEE_WITCH	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
351	WEE_WITCH	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
352	WEE_WITCH	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
353	WEE_WITCH	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
354	PLAGUE_ENTREPRENEUR	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
355	PLAGUE_ENTREPRENEUR	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
356	PLAGUE_ENTREPRENEUR	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
357	PLAGUE_ENTREPRENEUR	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
358	PLAGUE_ENTREPRENEUR	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
359	PLAGUE_ENTREPRENEUR	TENACITY	0.028*(6S-2+(2^S)+(L+(L>14)*2)*S)
360	MISTRESS_MANICURE	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
361	MISTRESS_MANICURE	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
362	MISTRESS_MANICURE	MAGIC_POWER	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
363	MISTRESS_MANICURE	PIERCING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
364	MISTRESS_MANICURE	STARTING_ENERGY	0.45*(6S-2+(2^S)+(L+(L>14)*2)*S)
365	MISTRESS_MANICURE	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
366	VILE_BILE	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
367	VILE_BILE	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
368	VILE_BILE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
369	VILE_BILE	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
370	VILE_BILE	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
371	VILE_BILE	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
372	VOID_WYVERN	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
373	VOID_WYVERN	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
374	VOID_WYVERN	NECROTIC_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
375	VOID_WYVERN	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
376	VOID_WYVERN	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
377	VOID_WYVERN	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
378	BURNT_ONE	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
379	BURNT_ONE	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
380	BURNT_ONE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
381	BURNT_ONE	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
382	BURNT_ONE	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
383	BURNT_ONE	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
384	BULWARK_ANGEL	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
385	BULWARK_ANGEL	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
386	BULWARK_ANGEL	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
387	BULWARK_ANGEL	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
388	BULWARK_ANGEL	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
389	BULWARK_ANGEL	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
390	ANGELIC_HERALD	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
391	ANGELIC_HERALD	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
392	ANGELIC_HERALD	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
393	ANGELIC_HERALD	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
394	ANGELIC_HERALD	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
395	ANGELIC_HERALD	HOLY_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
396	ANGEL_DRAGON	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
397	ANGEL_DRAGON	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
398	ANGEL_DRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
399	ANGEL_DRAGON	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
400	ANGEL_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
401	ANGEL_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
402	TOMB_ANGEL	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
403	TOMB_ANGEL	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
404	TOMB_ANGEL	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
405	TOMB_ANGEL	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
406	TOMB_ANGEL	HOLY_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
407	TOMB_ANGEL	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
408	DRAGON_SLAYER	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
409	DRAGON_SLAYER	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
410	DRAGON_SLAYER	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
411	DRAGON_SLAYER	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
412	DRAGON_SLAYER	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
413	DRAGON_SLAYER	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
414	ETERNAL_ENCHANTER	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
415	ETERNAL_ENCHANTER	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
416	ETERNAL_ENCHANTER	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
417	ETERNAL_ENCHANTER	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
418	ETERNAL_ENCHANTER	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
419	ETERNAL_ENCHANTER	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
420	GRAND_HUNTRESS	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
421	GRAND_HUNTRESS	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
422	GRAND_HUNTRESS	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
423	GRAND_HUNTRESS	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
424	GRAND_HUNTRESS	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
425	GRAND_HUNTRESS	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
426	TRIPLE_THREAT	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
427	TRIPLE_THREAT	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
428	TRIPLE_THREAT	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
429	TRIPLE_THREAT	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
430	TRIPLE_THREAT	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
431	TRIPLE_THREAT	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
432	LAST_DEFENDER	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
433	LAST_DEFENDER	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
434	LAST_DEFENDER	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
435	LAST_DEFENDER	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
436	LAST_DEFENDER	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
437	LAST_DEFENDER	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
438	SOJOURNER_SORCERESS	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
439	SOJOURNER_SORCERESS	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
440	SOJOURNER_SORCERESS	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
441	SOJOURNER_SORCERESS	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
442	SOJOURNER_SORCERESS	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
443	SOJOURNER_SORCERESS	FIRE_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
444	KARAOKE_KING	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
445	KARAOKE_KING	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
446	KARAOKE_KING	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
447	KARAOKE_KING	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
448	KARAOKE_KING	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
449	KARAOKE_KING	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
450	SHADOW_OF_SVEN	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
451	SHADOW_OF_SVEN	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
452	SHADOW_OF_SVEN	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
453	SHADOW_OF_SVEN	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
454	SHADOW_OF_SVEN	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
455	SHADOW_OF_SVEN	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
456	FORGOTTEN_DRAGON	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
457	FORGOTTEN_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
458	FORGOTTEN_DRAGON	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
459	FORGOTTEN_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
460	FORGOTTEN_DRAGON	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
461	FORGOTTEN_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
462	STEPLADDER_BROTHERS	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
463	STEPLADDER_BROTHERS	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
464	STEPLADDER_BROTHERS	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
465	STEPLADDER_BROTHERS	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
466	STEPLADDER_BROTHERS	BASHING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
467	STEPLADDER_BROTHERS	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
468	SUN_SEEKER	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
469	SUN_SEEKER	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
470	SUN_SEEKER	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
471	SUN_SEEKER	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
472	SUN_SEEKER	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
473	SUN_SEEKER	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
474	BLACK_WING	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
475	BLACK_WING	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
476	BLACK_WING	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
477	BLACK_WING	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
478	BLACK_WING	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
479	BLACK_WING	ENERGY_WHEN_ATTACKED	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
480	UNRIPE_MYTHOLOGY	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
481	UNRIPE_MYTHOLOGY	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
482	UNRIPE_MYTHOLOGY	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
483	UNRIPE_MYTHOLOGY	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
484	UNRIPE_MYTHOLOGY	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
485	UNRIPE_MYTHOLOGY	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
486	GREED_DRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
487	GREED_DRAGON	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
488	GREED_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
489	GREED_DRAGON	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
490	GREED_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
491	GREED_DRAGON	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
492	ANCIENT_DWARF	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
493	ANCIENT_DWARF	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
494	ANCIENT_DWARF	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
495	ANCIENT_DWARF	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
496	ANCIENT_DWARF	CRIT_DAMAGE_BONUS	0.0018*(6S-2+(2^S)+(L+(L>14)*2)*S)
497	ANCIENT_DWARF	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
498	DIGGER_MOLE	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
499	DIGGER_MOLE	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
500	DIGGER_MOLE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
501	DIGGER_MOLE	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
502	DIGGER_MOLE	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
503	DIGGER_MOLE	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
504	SADISTIC_DANCER	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
