	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARD_1	REWARD_1_QTY	REWARD_2	REWARD_2_QTY	REWARD_3	REWARD_3_QTY	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	VALUE	EXTRA	CAMPAIGN_TYPE	CAMPAIGN_CHAPTER	CAMPAIGN_LEVEL	GOOGLE_ID
609	5_HERO_AT_LEVEL_66	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	500000				Once,HasTL,TLLess86,TL66	HeroCountAtLevel	5	66				
610	5_HERO_AT_LEVEL_71	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	600000				Once,HasTL,TLLess91,TL71	HeroCountAtLevel	5	71				
611	5_HERO_AT_LEVEL_76	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	600000				Once,HasTL,TLLess96,TL76	HeroCountAtLevel	5	76				
612	5_HERO_AT_LEVEL_81	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	700000				Once,HasTL,TLLess101,TL81	HeroCountAtLevel	5	81				
613	5_HERO_AT_LEVEL_86	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	700000				Once,HasTL,TLLess106,TL86	HeroCountAtLevel	5	86				
614	5_HERO_AT_LEVEL_91	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	800000				Once,HasTL,TLLess111,TL91	HeroCountAtLevel	5	91				
615	5_HERO_AT_LEVEL_96	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	800000				Once,HasTL,TLLess116,TL96	HeroCountAtLevel	5	96				
616	5_HERO_AT_LEVEL_101	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	900000				Once,HasTL,TLLess121,TL101	HeroCountAtLevel	5	101				
617	5_HERO_AT_LEVEL_106	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	900000				Once,HasTL,TLLess126,TL106	HeroCountAtLevel	5	106				
618	5_HERO_AT_LEVEL_111	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess131,TL111	HeroCountAtLevel	5	111				
619	5_HERO_AT_LEVEL_116	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess136,TL116	HeroCountAtLevel	5	116				
620	5_HERO_AT_LEVEL_121	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess141,TL121	HeroCountAtLevel	5	121				
621	5_HERO_AT_LEVEL_126	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess146,TL126	HeroCountAtLevel	5	126				
622	5_HERO_AT_LEVEL_131	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess151,TL131	HeroCountAtLevel	5	131				
623	5_HERO_AT_LEVEL_136	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess156,TL136	HeroCountAtLevel	5	136				
624	5_HERO_AT_LEVEL_141	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess161,TL141	HeroCountAtLevel	5	141				
625	5_HERO_AT_LEVEL_146	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess166,TL146	HeroCountAtLevel	5	146				
626	5_HERO_AT_LEVEL_151	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess171,TL151	HeroCountAtLevel	5	151				
627	5_HERO_AT_LEVEL_156	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess176,TL156	HeroCountAtLevel	5	156				
628	5_HERO_AT_LEVEL_161	ACHIEVEMENT	4	hero_collection	skills	DIAMONDS	100	GOLD	1000000				Once,HasTL,TLLess181,TL161	HeroCountAtLevel	5	161				
700	15_HERO_AT_LEVEL_48	ACHIEVEMENT	4	hero_collection	skills	SHIMMER_DUST	10						Once,HasTL,TLLess68,TL48	HeroCountAtLevel	15	48				
701	15_HERO_AT_LEVEL_53	ACHIEVEMENT	4	hero_collection	skills	SHIMMER_DUST	10						Once,HasTL,TLLess73,TL53	HeroCountAtLevel	15	53				
702	15_HERO_AT_LEVEL_58	ACHIEVEMENT	4	hero_collection	skills	SHIMMER_DUST	10						Once,HasTL,TLLess78,TL58	HeroCountAtLevel	15	58				
703	15_HERO_AT_LEVEL_63	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	3						Once,HasTL,TLLess83,TL63	HeroCountAtLevel	15	63				
704	15_HERO_AT_LEVEL_68	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	3						Once,HasTL,TLLess88,TL68	HeroCountAtLevel	15	68				
705	15_HERO_AT_LEVEL_73	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	3						Once,HasTL,TLLess93,TL73	HeroCountAtLevel	15	73				
706	15_HERO_AT_LEVEL_78	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	4						Once,HasTL,TLLess98,TL78	HeroCountAtLevel	15	78				
707	15_HERO_AT_LEVEL_83	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	4						Once,HasTL,TLLess103,TL83	HeroCountAtLevel	15	83				
708	15_HERO_AT_LEVEL_88	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	4						Once,HasTL,TLLess108,TL88	HeroCountAtLevel	15	88				
709	15_HERO_AT_LEVEL_93	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	5						Once,HasTL,TLLess113,TL93	HeroCountAtLevel	15	93				
710	15_HERO_AT_LEVEL_98	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	5						Once,HasTL,TLLess118,TL98	HeroCountAtLevel	15	98				
711	15_HERO_AT_LEVEL_103	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	5						Once,HasTL,TLLess123,TL103	HeroCountAtLevel	15	103				
712	15_HERO_AT_LEVEL_108	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	6						Once,HasTL,TLLess128,TL108	HeroCountAtLevel	15	108				
713	15_HERO_AT_LEVEL_113	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	6						Once,HasTL,TLLess133,TL113	HeroCountAtLevel	15	113				
714	15_HERO_AT_LEVEL_118	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	6						Once,HasTL,TLLess138,TL118	HeroCountAtLevel	15	118				
715	15_HERO_AT_LEVEL_123	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess143,TL123	HeroCountAtLevel	15	123				
716	15_HERO_AT_LEVEL_128	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess148,TL128	HeroCountAtLevel	15	128				
717	15_HERO_AT_LEVEL_133	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess153,TL133	HeroCountAtLevel	15	133				
718	15_HERO_AT_LEVEL_138	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess158,TL138	HeroCountAtLevel	15	138				
719	15_HERO_AT_LEVEL_143	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess163,TL143	HeroCountAtLevel	15	143				
720	15_HERO_AT_LEVEL_148	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	7						Once,HasTL,TLLess168,TL148	HeroCountAtLevel	15	148				
721	15_HERO_AT_LEVEL_153	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	8						Once,HasTL,TLLess173,TL153	HeroCountAtLevel	15	153				
722	15_HERO_AT_LEVEL_158	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	8						Once,HasTL,TLLess178,TL158	HeroCountAtLevel	15	158				
723	15_HERO_AT_LEVEL_163	ACHIEVEMENT	4	hero_collection	skills	PRIMAL_ESSENCE	8						Once,HasTL,TLLess183,TL163	HeroCountAtLevel	15	163				
1001	BOSS_PIT_NPC_EVIL_WIZARD_0_1	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	1	EXP_DECANTER	5				Once,TL55	BossPitWin			NPC_EVIL_WIZARD	0	1	
1011	BOSS_PIT_NPC_EVIL_WIZARD_1_1	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	1	EXP_DECANTER	5			1001	Once,FollowUp,TL55	BossPitWin			NPC_EVIL_WIZARD	1	1	
1021	BOSS_PIT_NPC_EVIL_WIZARD_2_1	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	1	EXP_DECANTER	5			1011	Once,FollowUp,TL55	BossPitWin			NPC_EVIL_WIZARD	2	1	
1002	BOSS_PIT_NPC_EVIL_WIZARD_0_2	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	7			1001	Once,FollowUp,TL56	BossPitWin			NPC_EVIL_WIZARD	0	2	
1012	BOSS_PIT_NPC_EVIL_WIZARD_1_2	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	7			1011	Once,FollowUp,TL56	BossPitWin			NPC_EVIL_WIZARD	1	2	
1022	BOSS_PIT_NPC_EVIL_WIZARD_2_2	ACHIEVEMENT	9	npc_evil_wizard	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	7			1021	Once,FollowUp,TL56	BossPitWin			NPC_EVIL_WIZARD	2	2	
1003	BOSS_PIT_NPC_EVIL_WIZARD_0_3	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	2	EXP_DECANTER	10			1002	Once,FollowUp,TL60	BossPitWin			NPC_EVIL_WIZARD	0	3	
1013	BOSS_PIT_NPC_EVIL_WIZARD_1_3	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	2	EXP_DECANTER	10			1012	Once,FollowUp,TL60	BossPitWin			NPC_EVIL_WIZARD	1	3	
1023	BOSS_PIT_NPC_EVIL_WIZARD_2_3	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	1	EXP_DECANTER	10			1022	Once,FollowUp,TL60	BossPitWin			NPC_EVIL_WIZARD	2	3	
1004	BOSS_PIT_NPC_EVIL_WIZARD_0_4	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	3	EXP_DECANTER	20			1003	Once,FollowUp,TL71	BossPitWin			NPC_EVIL_WIZARD	0	4	
1014	BOSS_PIT_NPC_EVIL_WIZARD_1_4	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	3	EXP_DECANTER	20			1013	Once,FollowUp,TL71	BossPitWin			NPC_EVIL_WIZARD	1	4	
1024	BOSS_PIT_NPC_EVIL_WIZARD_2_4	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	1	EXP_DECANTER	20			1023	Once,FollowUp,TL71	BossPitWin			NPC_EVIL_WIZARD	2	4	
1005	BOSS_PIT_NPC_EVIL_WIZARD_0_5	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	4	EXP_DECANTER	40			1004	Once,FollowUp,TL79	BossPitWin			NPC_EVIL_WIZARD	0	5	
1015	BOSS_PIT_NPC_EVIL_WIZARD_1_5	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	4	EXP_DECANTER	40			1014	Once,FollowUp,TL79	BossPitWin			NPC_EVIL_WIZARD	1	5	
1025	BOSS_PIT_NPC_EVIL_WIZARD_2_5	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	2	EXP_DECANTER	40			1024	Once,FollowUp,TL79	BossPitWin			NPC_EVIL_WIZARD	2	5	
1006	BOSS_PIT_NPC_EVIL_WIZARD_0_6	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	5	EXP_DECANTER	80			1005	Once,FollowUp,TL86	BossPitWin			NPC_EVIL_WIZARD	0	6	
1016	BOSS_PIT_NPC_EVIL_WIZARD_1_6	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	5	EXP_DECANTER	80			1015	Once,FollowUp,TL86	BossPitWin			NPC_EVIL_WIZARD	1	6	
1026	BOSS_PIT_NPC_EVIL_WIZARD_2_6	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	2	EXP_DECANTER	80			1025	Once,FollowUp,TL86	BossPitWin			NPC_EVIL_WIZARD	2	6	
1007	BOSS_PIT_NPC_EVIL_WIZARD_0_7	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	6	EXP_DECANTER	160			1006	Once,FollowUp,TL94	BossPitWin			NPC_EVIL_WIZARD	0	7	
1017	BOSS_PIT_NPC_EVIL_WIZARD_1_7	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	6	EXP_DECANTER	160			1016	Once,FollowUp,TL94	BossPitWin			NPC_EVIL_WIZARD	1	7	
1027	BOSS_PIT_NPC_EVIL_WIZARD_2_7	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	2	EXP_DECANTER	160			1026	Once,FollowUp,TL94	BossPitWin			NPC_EVIL_WIZARD	2	7	
1008	BOSS_PIT_NPC_EVIL_WIZARD_0_8	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	7	EXP_DECANTER	240			1007	Once,FollowUp,TL101	BossPitWin			NPC_EVIL_WIZARD	0	8	
1018	BOSS_PIT_NPC_EVIL_WIZARD_1_8	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	7	EXP_DECANTER	240			1017	Once,FollowUp,TL101	BossPitWin			NPC_EVIL_WIZARD	1	8	
1028	BOSS_PIT_NPC_EVIL_WIZARD_2_8	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	3	EXP_DECANTER	240			1027	Once,FollowUp,TL101	BossPitWin			NPC_EVIL_WIZARD	2	8	
1009	BOSS_PIT_NPC_EVIL_WIZARD_0_9	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	8	EXP_DECANTER	320			1008	Once,FollowUp,TL109	BossPitWin			NPC_EVIL_WIZARD	0	9	
1019	BOSS_PIT_NPC_EVIL_WIZARD_1_9	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	8	EXP_DECANTER	320			1018	Once,FollowUp,TL109	BossPitWin			NPC_EVIL_WIZARD	1	9	
1029	BOSS_PIT_NPC_EVIL_WIZARD_2_9	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	4	EXP_DECANTER	320			1028	Once,FollowUp,TL109	BossPitWin			NPC_EVIL_WIZARD	2	9	
1010	BOSS_PIT_NPC_EVIL_WIZARD_0_10	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	9	EXP_DECANTER	400			1009	Once,FollowUp,TL116	BossPitWin			NPC_EVIL_WIZARD	0	10	
1020	BOSS_PIT_NPC_EVIL_WIZARD_1_10	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	9	EXP_DECANTER	400			1019	Once,FollowUp,TL116	BossPitWin			NPC_EVIL_WIZARD	1	10	
1030	BOSS_PIT_NPC_EVIL_WIZARD_2_10	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	4	EXP_DECANTER	400			1029	Once,FollowUp,TL116	BossPitWin			NPC_EVIL_WIZARD	2	10	
1031	BOSS_PIT_NPC_EVIL_WIZARD_0_11	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	10	EXP_DECANTER	500			1010	Once,FollowUp,TL123	BossPitWin			NPC_EVIL_WIZARD	0	11	
1041	BOSS_PIT_NPC_EVIL_WIZARD_1_11	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	10	EXP_DECANTER	500			1020	Once,FollowUp,TL123	BossPitWin			NPC_EVIL_WIZARD	1	11	
1051	BOSS_PIT_NPC_EVIL_WIZARD_2_11	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	5	EXP_DECANTER	500			1030	Once,FollowUp,TL123	BossPitWin			NPC_EVIL_WIZARD	2	11	
1032	BOSS_PIT_NPC_EVIL_WIZARD_0_12	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	15	EXP_DECANTER	600			1031	Once,FollowUp,TL126	BossPitWin			NPC_EVIL_WIZARD	0	12	
1042	BOSS_PIT_NPC_EVIL_WIZARD_1_12	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	15	EXP_DECANTER	600			1041	Once,FollowUp,TL126	BossPitWin			NPC_EVIL_WIZARD	1	12	
1052	BOSS_PIT_NPC_EVIL_WIZARD_2_12	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	10	EXP_DECANTER	600			1051	Once,FollowUp,TL126	BossPitWin			NPC_EVIL_WIZARD	2	12	
1033	BOSS_PIT_NPC_EVIL_WIZARD_0_13	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	16	EXP_DECANTER	700			1032	Once,FollowUp,TL131	BossPitWin			NPC_EVIL_WIZARD	0	13	
1043	BOSS_PIT_NPC_EVIL_WIZARD_1_13	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	16	EXP_DECANTER	700			1042	Once,FollowUp,TL131	BossPitWin			NPC_EVIL_WIZARD	1	13	
1053	BOSS_PIT_NPC_EVIL_WIZARD_2_13	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	11	EXP_DECANTER	700			1052	Once,FollowUp,TL131	BossPitWin			NPC_EVIL_WIZARD	2	13	
1034	BOSS_PIT_NPC_EVIL_WIZARD_0_14	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	17	EXP_DECANTER	800			1033	Once,FollowUp,TL136	BossPitWin			NPC_EVIL_WIZARD	0	14	
1044	BOSS_PIT_NPC_EVIL_WIZARD_1_14	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	17	EXP_DECANTER	800			1043	Once,FollowUp,TL136	BossPitWin			NPC_EVIL_WIZARD	1	14	
1054	BOSS_PIT_NPC_EVIL_WIZARD_2_14	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	12	EXP_DECANTER	800			1053	Once,FollowUp,TL136	BossPitWin			NPC_EVIL_WIZARD	2	14	
1035	BOSS_PIT_NPC_EVIL_WIZARD_0_15	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	18	EXP_DECANTER	800			1034	Once,FollowUp,TL141	BossPitWin			NPC_EVIL_WIZARD	0	15	
1045	BOSS_PIT_NPC_EVIL_WIZARD_1_15	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	18	EXP_DECANTER	800			1044	Once,FollowUp,TL141	BossPitWin			NPC_EVIL_WIZARD	1	15	
1055	BOSS_PIT_NPC_EVIL_WIZARD_2_15	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	12	EXP_DECANTER	800			1054	Once,FollowUp,TL141	BossPitWin			NPC_EVIL_WIZARD	2	15	
1036	BOSS_PIT_NPC_EVIL_WIZARD_0_16	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	20	EXP_DECANTER	800			1035	Once,FollowUp,TL146	BossPitWin			NPC_EVIL_WIZARD	0	16	
1046	BOSS_PIT_NPC_EVIL_WIZARD_1_16	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	20	EXP_DECANTER	800			1045	Once,FollowUp,TL146	BossPitWin			NPC_EVIL_WIZARD	1	16	
1056	BOSS_PIT_NPC_EVIL_WIZARD_2_16	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	15	EXP_DECANTER	800			1055	Once,FollowUp,TL146	BossPitWin			NPC_EVIL_WIZARD	2	16	
1037	BOSS_PIT_NPC_EVIL_WIZARD_0_17	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	20	EXP_DECANTER	800			1036	Once,FollowUp,TL151	BossPitWin			NPC_EVIL_WIZARD	0	17	
1047	BOSS_PIT_NPC_EVIL_WIZARD_1_17	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	20	EXP_DECANTER	800			1046	Once,FollowUp,TL151	BossPitWin			NPC_EVIL_WIZARD	1	17	
1057	BOSS_PIT_NPC_EVIL_WIZARD_2_17	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	15	EXP_DECANTER	800			1056	Once,FollowUp,TL151	BossPitWin			NPC_EVIL_WIZARD	2	17	
1038	BOSS_PIT_NPC_EVIL_WIZARD_0_18	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	20	EXP_DECANTER	800			1037	Once,FollowUp,TL156	BossPitWin			NPC_EVIL_WIZARD	0	18	
1048	BOSS_PIT_NPC_EVIL_WIZARD_1_18	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	20	EXP_DECANTER	800			1047	Once,FollowUp,TL156	BossPitWin			NPC_EVIL_WIZARD	1	18	
1058	BOSS_PIT_NPC_EVIL_WIZARD_2_18	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	15	EXP_DECANTER	800			1057	Once,FollowUp,TL156	BossPitWin			NPC_EVIL_WIZARD	2	18	
1039	BOSS_PIT_NPC_EVIL_WIZARD_0_19	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_1	25	EXP_DECANTER	800			1038	Once,FollowUp,TL161	BossPitWin			NPC_EVIL_WIZARD	0	19	
1049	BOSS_PIT_NPC_EVIL_WIZARD_1_19	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_MAJOR_2	25	EXP_DECANTER	800			1048	Once,FollowUp,TL161	BossPitWin			NPC_EVIL_WIZARD	1	19	
1059	BOSS_PIT_NPC_EVIL_WIZARD_2_19	ACHIEVEMENT	9	npc_evil_wizard	bossPit	OFFERING_KEYSTONE	20	EXP_DECANTER	800			1058	Once,FollowUp,TL161	BossPitWin			NPC_EVIL_WIZARD	2	19	
1101	BOSS_PIT_NPC_GIANT_PLANT_0_1	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	5				Once,TL55	BossPitWin			NPC_GIANT_PLANT	0	1	
1111	BOSS_PIT_NPC_GIANT_PLANT_1_1	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	5			1101	Once,FollowUp,TL55	BossPitWin			NPC_GIANT_PLANT	1	1	
1121	BOSS_PIT_NPC_GIANT_PLANT_2_1	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	2	EXP_DECANTER	5			1111	Once,FollowUp,TL55	BossPitWin			NPC_GIANT_PLANT	2	1	
1102	BOSS_PIT_NPC_GIANT_PLANT_0_2	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	3	EXP_DECANTER	7			1101	Once,FollowUp,TL57	BossPitWin			NPC_GIANT_PLANT	0	2	
1112	BOSS_PIT_NPC_GIANT_PLANT_1_2	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	3	EXP_DECANTER	7			1111	Once,FollowUp,TL57	BossPitWin			NPC_GIANT_PLANT	1	2	
1122	BOSS_PIT_NPC_GIANT_PLANT_2_2	ACHIEVEMENT	9	npc_giant_plant	bossPit	STAMINA_CONSUMABLE	3	EXP_DECANTER	7			1121	Once,FollowUp,TL57	BossPitWin			NPC_GIANT_PLANT	2	2	
1103	BOSS_PIT_NPC_GIANT_PLANT_0_3	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_1	2	EXP_DECANTER	10			1102	Once,FollowUp,TL64	BossPitWin			NPC_GIANT_PLANT	0	3	
1113	BOSS_PIT_NPC_GIANT_PLANT_1_3	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_2	2	EXP_DECANTER	10			1112	Once,FollowUp,TL64	BossPitWin			NPC_GIANT_PLANT	1	3	
1123	BOSS_PIT_NPC_GIANT_PLANT_2_3	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_KEYSTONE	1	EXP_DECANTER	10			1122	Once,FollowUp,TL64	BossPitWin			NPC_GIANT_PLANT	2	3	
1104	BOSS_PIT_NPC_GIANT_PLANT_0_4	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_1	3	EXP_DECANTER	20			1103	Once,FollowUp,TL74	BossPitWin			NPC_GIANT_PLANT	0	4	
1114	BOSS_PIT_NPC_GIANT_PLANT_1_4	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_2	3	EXP_DECANTER	20			1113	Once,FollowUp,TL74	BossPitWin			NPC_GIANT_PLANT	1	4	
1124	BOSS_PIT_NPC_GIANT_PLANT_2_4	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_KEYSTONE	1	EXP_DECANTER	20			1123	Once,FollowUp,TL74	BossPitWin			NPC_GIANT_PLANT	2	4	
1105	BOSS_PIT_NPC_GIANT_PLANT_0_5	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_1	4	EXP_DECANTER	40			1104	Once,FollowUp,TL81	BossPitWin			NPC_GIANT_PLANT	0	5	
1115	BOSS_PIT_NPC_GIANT_PLANT_1_5	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_2	4	EXP_DECANTER	40			1114	Once,FollowUp,TL81	BossPitWin			NPC_GIANT_PLANT	1	5	
1125	BOSS_PIT_NPC_GIANT_PLANT_2_5	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_KEYSTONE	2	EXP_DECANTER	40			1124	Once,FollowUp,TL81	BossPitWin			NPC_GIANT_PLANT	2	5	
1106	BOSS_PIT_NPC_GIANT_PLANT_0_6	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_1	5	EXP_DECANTER	80			1105	Once,FollowUp,TL89	BossPitWin			NPC_GIANT_PLANT	0	6	
1116	BOSS_PIT_NPC_GIANT_PLANT_1_6	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_MAJOR_2	5	EXP_DECANTER	80			1115	Once,FollowUp,TL89	BossPitWin			NPC_GIANT_PLANT	1	6	
1126	BOSS_PIT_NPC_GIANT_PLANT_2_6	ACHIEVEMENT	9	npc_giant_plant	bossPit	OFFERING_KEYSTONE	2	EXP_DECANTER	80			1125	Once,FollowUp,TL89	BossPitWin			NPC_GIANT_PLANT	2	6	
