	STAT_X	STAT_Y	STAT_Z	STAT_W	EFFECT_DURATION
SNAPPER_BONE_1	L*A*0.025+20L	L*A*0.015+10L			
SNAPPER_BONE_2					5000 + 50L
SNAPPER_BONE_3	L*A*0.015+15L	L*2			
SNAPPER_BONE_4	L*5+150	L*3+100			
SNAPPER_BONE_5					
WHITE_TIGRESS_0	0.45A				
WHITE_TIGRESS_1	L*A*0.012+25L	L*3	0.25		
WHITE_TIGRESS_2	0.6	L*A*0.0035+10L	0.3	0.2	2800
WHITE_TIGRESS_3	L*A*0.007+10L	0.8	L*4		
WHITE_TIGRESS_4	L*2 + 50	L*15 + 400			
WHITE_TIGRESS_5					
VERMILION_PRIESTESS_0					
VERMILION_PRIESTESS_1	L*S*0.0014+5L				5000+L*40
VERMILION_PRIESTESS_2	L*S*0.001+5L	0.4+L*0.0015			9000
VERMILION_PRIESTESS_3	L*S*0.006+10L	L*15			8000
VERMILION_PRIESTESS_4	L*2 + 100	L*3 + 120			
VERMILION_PRIESTESS_5					
NPC_ABYSS_DRAGON_0	0.5A	300			
NPC_ABYSS_DRAGON_1	0.8A				10000
NPC_ABYSS_DRAGON_2	150				8000
NPC_BOSS_ANUBIS_DRAGON_0	A				
NPC_BOSS_ANUBIS_DRAGON_1	1.4*A	50			9000
NPC_BOSS_ANUBIS_DRAGON_2	0.1*S				8000
PCH_ANUBIS_DRAGON_0					
PCH_ANUBIS_DRAGON_1	L*S*0.008 + 15L	0.75			4000 + 20L
PCH_ANUBIS_DRAGON_2	L*A*0.0007 + 5L				8000
PCH_ANUBIS_DRAGON_3	L*S*0.011 + 25L				5000 + 50L
PCH_ANUBIS_DRAGON_4	L*S*0.01	0			
PCH_ANUBIS_DRAGON_5					
ABYSS_DRAGON_0	0.8A	0			
ABYSS_DRAGON_1	L*S*0.01 + 10L				8000
ABYSS_DRAGON_2	L + 70				8000
ABYSS_DRAGON_3	L*S*0.007 + 10L				
ABYSS_DRAGON_4	L*A*0.015				
ABYSS_DRAGON_5					
UMLAUT_THE_FIRST_0					
UMLAUT_THE_FIRST_1	L*A*0.03 + 30L	450			8000
UMLAUT_THE_FIRST_2	5L + L*S*0.001				8000
UMLAUT_THE_FIRST_3	50 + L*0.2	1			2500 + L*10
UMLAUT_THE_FIRST_4	L*5	L*A*0.0012			
UMLAUT_THE_FIRST_5					
NPC_UMLAUT_THE_FIFTH_FIRST_0	0.6A				
NPC_UMLAUT_THE_FIFTH_FIRST_1	0.8A	0.45A			4000
NPC_UMLAUT_THE_FIFTH_FIRST_2	10000	1000			
NPC_BOSS_ABYSS_DRAGON_0	0.5A	300			
NPC_BOSS_ABYSS_DRAGON_1	0.8A				10000
NPC_BOSS_ABYSS_DRAGON_2	150				8000
NPC_BOSS_ANDRAGONUS_THE_FIRST_0					
NPC_BOSS_ANDRAGONUS_THE_FIRST_1	A*1.5	350			8000
NPC_BOSS_ANDRAGONUS_THE_FIRST_2	S*0.05				8000
NPC_BOSS_UMLAUT_THE_FIFTH_FIRST_0	0.6A				
NPC_BOSS_UMLAUT_THE_FIFTH_FIRST_1	0.8A	0.4A			3000
NPC_BOSS_UMLAUT_THE_FIFTH_FIRST_2	10000	1000			
NPC_BOSS_UMLAUT_THE_FIFTH_FIRST_3	0.3A				12000
NPC_SINISTER_ASSAILANT_0	2*A				
NPC_SINISTER_ASSAILANT_1	A*999				
CLAW_MAN_0					
CLAW_MAN_1	L*A*0.04 + 70L	0.3 + 0.001L			
CLAW_MAN_2	L*A*0.035 + 50L	0.2 + 0.001L			6000
CLAW_MAN_3	L*A*0.015 + 10L	2L			10000
CLAW_MAN_4	0.004L	0.003L			
CLAW_MAN_5					
DARK_HERO_0					
DARK_HERO_1	L*S*0.028 + 100L				3000
DARK_HERO_2	L*S*0.009 + 20L				2000 + 50L
DARK_HERO_3	L*S*0.007 + 15L				
DARK_HERO_4	L*S*0.0045 + 10L	0.003L	0.004L		7000
DARK_HERO_5					
NPC_RED_TIGER_0	A	0.7			
NPC_RED_TIGER_1					6000
