	UNIT	RARITY	CATEGORY	VISUAL_DURATION	DURATION	COOLDOWN	INIT_COOLDOWN	PRIORITY	TRIGGER_RANGE	CAST_RANGE	SPLASH_RANGE	MISC_RANGE	DAMAGE_TYPE	DAMAGE_SUB_TYPE	TAGS	PROJECTILE_TYPE	ENERGY_GAIN	TARGET_TAG
NINJA_DWARF_2	NINJA_DWARF	GREEN	OTHER	0	2.25	7	1.75	3	1625	125			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
NINJA_DWARF_3	NINJA_DWARF	BLUE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	90	
NINJA_DWARF_4	NINJA_DWARF	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
NINJA_DWARF_5	NINJA_DWARF	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
NINJA_DWARF_6	NINJA_DWARF	RED	OTHER	0	-1	-1	-1	1	4000							NONE	90	ROAMING_THINGS_IN_THE_DARK_NIGHT
BROZERKER_0	BROZERKER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	4	75	125	125		PHYSICAL	PIERCING	PHYSICAL,PIERCING	NONE	90	
BROZERKER_1	BROZERKER	WHITE	ACTIVE	2	3	-1	-1	1	925				MAGIC			NONE	0	
BROZERKER_2	BROZERKER	GREEN	OTHER	0	3	10	2.5	2	75				MAGIC	NECROTIC	MAGIC,NECROTIC	NONE	90	
BROZERKER_3	BROZERKER	BLUE	OTHER	0	3	15	3.75	3	75		125		MAGIC	NECROTIC	MAGIC,NECROTIC	NONE	0	
BROZERKER_4	BROZERKER	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
BROZERKER_5	BROZERKER	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
BROZERKER_6	BROZERKER	RED	OTHER	0	-1	-1	-1	-1								NONE	0	LOYAL_MATEY
MINOTAUR_0	MINOTAUR	DEFAULT	AUTO_ATTACK	0	4.2	4.2	1.05	3	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
MINOTAUR_1	MINOTAUR	WHITE	ACTIVE	1.5	3	-1	-1	1	75				PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	0	
MINOTAUR_2	MINOTAUR	GREEN	OTHER	0	4	-1	-1	-1	3600			125	PHYSICAL			NONE	90	
MINOTAUR_3	MINOTAUR	BLUE	OTHER	0	2.7	12	3	2	75				PHYSICAL			NONE	90	
MINOTAUR_4	MINOTAUR	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MINOTAUR_5	MINOTAUR	ORANGE	OTHER	0	-1	-1	-1	-1					PHYSICAL			NONE	0	
DARK_HORSE_0	DARK_HORSE	DEFAULT	AUTO_ATTACK	0	3	3	0.75	3	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
DARK_HORSE_1	DARK_HORSE	WHITE	ACTIVE	2	3	-1	-1	1	75		125	100	PHYSICAL	BASHING	PHYSICAL,BASHING,KNOCKBACK	NONE	0	
DARK_HORSE_2	DARK_HORSE	GREEN	OTHER	0	3	10	2.5	2	75		450		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
DARK_HORSE_3	DARK_HORSE	BLUE	OTHER	0	3	15	3.75	-1	2525				PHYSICAL			NONE	90	
DARK_HORSE_4	DARK_HORSE	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DARK_HORSE_5	DARK_HORSE	ORANGE	OTHER	0	3	15	3.75	-1	2525				PHYSICAL			NONE	90	
DRUIDINATRIX_0	DRUIDINATRIX	DEFAULT	AUTO_ATTACK	0	3	3	0.75	4	125	125	150		PHYSICAL	SLASHING	PHYSICAL,SLASHING,	NONE	90	
DRUIDINATRIX_1	DRUIDINATRIX	WHITE	ACTIVE	1	2	-1	-1	1	150			1400	PHYSICAL	SLASHING	PHYSICAL,SLASHING,RANGED	DRUIDINATRIX_1	0	
DRUIDINATRIX_2	DRUIDINATRIX	GREEN	OTHER	0	3	7	1.75	2	1625				PHYSICAL		PHYSICAL	NONE	90	
DRUIDINATRIX_3	DRUIDINATRIX	BLUE	OTHER	0	3	12	3	3	125		700		MAGIC		MAGIC	DRUIDINATRIX_3	90	
DRUIDINATRIX_4	DRUIDINATRIX	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DRUIDINATRIX_5	DRUIDINATRIX	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DWARVEN_ARCHER_0	DWARVEN_ARCHER	DEFAULT	AUTO_ATTACK	0	2.4	2.4	0.6	4	1625	1725			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	DWARVEN_ARCHER_0	90	
DWARVEN_ARCHER_1	DWARVEN_ARCHER	WHITE	ACTIVE	1	2	-1	-1	1	1625				PHYSICAL			NONE	0	
DWARVEN_ARCHER_2	DWARVEN_ARCHER	GREEN	OTHER	0	2.4	7	1.75	2	1625	1725			PHYSICAL	TOXIC	PHYSICAL,TOXIC,RANGED	DWARVEN_ARCHER_2	90	
DWARVEN_ARCHER_3	DWARVEN_ARCHER	BLUE	OTHER	0	0.75	12	3	3	1625				PHYSICAL			NONE	90	
DWARVEN_ARCHER_4	DWARVEN_ARCHER	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DWARVEN_ARCHER_5	DWARVEN_ARCHER	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
RABID_DRAGON_0	RABID_DRAGON	DEFAULT	AUTO_ATTACK	0	3	1.5	0.375	4	925	1025		75	PHYSICAL	FIRE	PHYSICAL,FIRE,RANGED	RABID_DRAGON_0	30	
RABID_DRAGON_1	RABID_DRAGON	WHITE	ACTIVE	1	3	-1	-1	1	925				PHYSICAL	ELECTRICAL	PHYSICAL,ELECTRIC	NONE	0	
RABID_DRAGON_2	RABID_DRAGON	GREEN	OTHER	0	3	15	3.75	2	925	1025			PHYSICAL	ELECTRICAL	PHYSICAL,ELECTRIC,RANGED	RABID_DRAGON_2	90	
RABID_DRAGON_3	RABID_DRAGON	BLUE	OTHER	0	3	15	3.75	3	925				MAGIC			NONE	0	
RABID_DRAGON_4	RABID_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
RABID_DRAGON_5	RABID_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ORC_MONK_0	ORC_MONK	DEFAULT	AUTO_ATTACK	0	2.6	2.6	0.65	4	75	125			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
ORC_MONK_1	ORC_MONK	WHITE	ACTIVE	1	2	-1	-1	1	2525				PHYSICAL			NONE	0	
ORC_MONK_2	ORC_MONK	GREEN	OTHER	0	2	9	2.25	2	75				PHYSICAL			NONE	90	
ORC_MONK_3	ORC_MONK	BLUE	OTHER	0	0.6	3	0.75	3	75				PHYSICAL			NONE	90	
ORC_MONK_4	ORC_MONK	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ORC_MONK_5	ORC_MONK	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ORC_MONK_6	ORC_MONK	RED	OTHER	0	-1	-1	-1	-1								NONE	0	PIOUS_HALO
NPC_GOBLIN_0	NPC_GOBLIN	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	75	125			PHYSICAL		PHYSICAL	NONE	0	
NPC_FIRE_IMP_0	NPC_FIRE_IMP	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	75	125			MAGIC	FIRE	MAGIC,FIRE	NPC_FIREBALL	0	
NPC_FIRE_IMP_1	NPC_FIRE_IMP	WHITE	OTHER	0	-1	-1	-1	-1					MAGIC	FIRE	MAGIC,FIRE	NONE	0	
NPC_STONE_IMP_0	NPC_STONE_IMP	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	75	125			PHYSICAL		PHYSICAL	NPC_MONSTER_PHYS_IMP	0	
NPC_STONE_IMP_1	NPC_STONE_IMP	WHITE	OTHER	0	-1	-1	-1	-1					PHYSICAL		PHYSICAL	NONE	0	
NPC_CRYSTAL_GOLEM_0	NPC_CRYSTAL_GOLEM	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	1625	1725	500		PHYSICAL		PHYSICAL,RANGED	NPC_AOE_PHYS_CRYSTAL	0	
NPC_ICE_GOLEM_0	NPC_ICE_GOLEM	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	1625	1725	500		MAGIC		MAGIC,RANGED	NPC_AOE_MAGIC_CRYSTAL	0	
NPC_WILDLING_ARCHER_0	NPC_WILDLING_ARCHER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	1625	1725			PHYSICAL		PHYSICAL,RANGED	WILDLING_ARCHER_0	0	
NPC_WILDLING_SNIPER_0	NPC_WILDLING_SNIPER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	925	1025			PHYSICAL		PHYSICAL,RANGED	WILDLING_SNIPER_0	0	
NPC_MYSTIC_WILDLING_0	NPC_MYSTIC_WILDLING	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	925	1025			MAGIC		MAGIC,RANGED	MYSTIC_WILDLING_0	0	
NPC_HEALER_SPRITE_0	NPC_HEALER_SPRITE	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	925	1025			MAGIC			NONE	0	
NPC_BUFF_SPRITE_0	NPC_BUFF_SPRITE	DEFAULT	AUTO_ATTACK	0	5	7.5	1.875	1	925	1025			MAGIC			NONE	0	
NPC_TROLL_BLOB_0	NPC_TROLL_BLOB	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	75	125			PHYSICAL		PHYSICAL	NONE	0	
NPC_INFERNO_SPIDER_0	NPC_INFERNO_SPIDER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	75	1500	500		MAGIC		MAGIC,RANGED	NPC_INFERNO_SPIDER_0	0	
NPC_SCARECROW_0	NPC_SCARECROW	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	925	1025			MAGIC		MAGIC,RANGED	NPC_SCARECROW_0	0	
NPC_POTTED_PLANT_0	NPC_POTTED_PLANT	DEFAULT	AUTO_ATTACK	0	3	3	0.75	2	75	125			PHYSICAL		PHYSICAL	NONE	0	
NPC_POTTED_PLANT_1	NPC_POTTED_PLANT	WHITE	AUTO_ATTACK	0	3	20	5	1	75	125			PHYSICAL		PHYSICAL	NONE	0	
NPC_KAMIKAZE_GNOME_0	NPC_KAMIKAZE_GNOME	DEFAULT	AUTO_ATTACK	0	3	4	4	1	75	125	450		PHYSICAL		PHYSICAL	NONE	0	
NPC_MR_SMASHY_0	NPC_MR_SMASHY	DEFAULT	AUTO_ATTACK	0	3	4.5	1.125	1	75	275	275		PHYSICAL		PHYSICAL	NONE	0	
NPC_CAULDRON_MONSTER_0	NPC_CAULDRON_MONSTER	DEFAULT	AUTO_ATTACK	0	0	0	0	-1	75		250		TRUE			NONE	0	
NPC_SQUID_0	NPC_SQUID	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	925	1025	150		PHYSICAL		PHYSICAL,RANGED	NPC_SQUID_SQUIRT	0	
BARDBARIAN_TITAN	BARDBARIAN	DEFAULT	TITAN	0	-1	-1	-1	-1					MAGIC		MAGIC	NONE	0	
BROZERKER_TITAN	BROZERKER	DEFAULT	TITAN	0	-1	-1	-1	-1					MAGIC		MAGIC	NONE	0	
CENTAUR_OF_ATTENTION_TITAN	CENTAUR_OF_ATTENTION	DEFAULT	TITAN	0	1	11	11	-1					PHYSICAL	BASHING	PHYSICAL,BASHING	CENTAUR_OF_ATTENTION_1	0	
MEDUSA_TITAN	MEDUSA	DEFAULT	TITAN	0	-1	-1	-1	-1					MAGIC		MAGIC	NONE	0	
SNAP_DRAGON_TITAN	SNAP_DRAGON	DEFAULT	TITAN	0	-1	-1	-1	-1					MAGIC		MAGIC	NONE	0	
UNSTABLE_UNDERSTUDY_TITAN	UNSTABLE_UNDERSTUDY	DEFAULT	TITAN	0	3	7	7	-1					MAGIC		MAGIC	UNDERSTUDY_1	0	
FAITH_HEALER_TITAN	FAITH_HEALER	DEFAULT	TITAN	0	1	12	12	1					MAGIC		MAGIC	NONE	0	
BONE_DRAGON_TITAN	BONE_DRAGON	DEFAULT	TITAN	0	-1	-1	-1	-1			125		MAGIC		MAGIC	NONE	0	
DRAGON_LADY_TITAN	DRAGON_LADY	DEFAULT	TITAN	0	-1	10	4	-1			550		MAGIC	FIRE	MAGIC,FIRE	DRAGON_LADY_DRAGON	0	
AQUATIC_MAN_TITAN	AQUATIC_MAN	DEFAULT	TITAN	0	-1	9	4.5	-1				250	MAGIC	WATER	MAGIC,WATER	AQUATIC_1	0	
NPC_EVIL_WIZARD_SUMMON_0	NPC_EVIL_WIZARD	WHITE	OTHER	0	3	15	1	1	2525				MAGIC			NONE	0	
NPC_EVIL_WIZARD_BOMB_0	NPC_EVIL_WIZARD	GREEN	OTHER	0	3	5	1.25	2	2525	2625	2000		MAGIC		MAGIC,RANGED	NPC_EVIL_WIZARD_BOMB	0	
NPC_EVIL_WIZARD_SUMMON_1	NPC_EVIL_WIZARD	WHITE	OTHER	0	1.25	20	1	1	2525				MAGIC			NONE	0	
NPC_EVIL_WIZARD_BOMB_1	NPC_EVIL_WIZARD	GREEN	OTHER	0	3	5	1.25	2	2525	2625	2000		MAGIC		MAGIC,RANGED	NPC_EVIL_WIZARD_BOMB	0	
NPC_EVIL_WIZARD_SUMMON_2	NPC_EVIL_WIZARD	WHITE	OTHER	0	3	1	1	1	2525				MAGIC			NONE	0	
NPC_EVIL_WIZARD_BOMB_2	NPC_EVIL_WIZARD	GREEN	OTHER	0	3	5	1.25	2	2525	2625	2000		MAGIC		MAGIC,RANGED	NPC_EVIL_WIZARD_BOMB	0	
NPC_EVIL_WIZARD_UNTARGETABLE	NPC_EVIL_WIZARD	DEFAULT	OTHER	0	-1	-1	-1	-1					MAGIC			NPC_EVIL_WIZARD_BOMB	0	
NPC_GOLD_COLOSSUS_MELEE_0	NPC_GOLD_COLOSSUS	WHITE	OTHER	0	1	1	0.25	3	125				PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_SPEW_GOLD_0	NPC_GOLD_COLOSSUS	GREEN	OTHER	0	0.5	0.5	5.5	4	3125	3225			PHYSICAL		PHYSICAL,RANGED	NPC_GOLD_COLOSSUS_GOLD	0	
NPC_GOLD_COLOSSUS_JUMP_0	NPC_GOLD_COLOSSUS	BLUE	OTHER	0	1	7	1.75	1	2525		800	600	PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_MELEE_1	NPC_GOLD_COLOSSUS	WHITE	OTHER	0	1	1	0.25	3	125				PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_SPEW_GOLD_1	NPC_GOLD_COLOSSUS	GREEN	OTHER	0	0.5	0.5	5.5	4	3125	3225			PHYSICAL		PHYSICAL,RANGED	NPC_GOLD_COLOSSUS_GOLD	0	
NPC_GOLD_COLOSSUS_JUMP_1	NPC_GOLD_COLOSSUS	BLUE	OTHER	0	1	7	1.75	1	2525		800	600	PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_MELEE_2	NPC_GOLD_COLOSSUS	WHITE	OTHER	0	1	1	0.25	3	125				PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_SPEW_GOLD_2	NPC_GOLD_COLOSSUS	GREEN	OTHER	0	0.5	0.5	5.5	4	3125	3225			PHYSICAL		PHYSICAL,RANGED	NPC_GOLD_COLOSSUS_GOLD	0	
NPC_GOLD_COLOSSUS_JUMP_2	NPC_GOLD_COLOSSUS	BLUE	OTHER	0	1	7	1.75	2	2525		800	600	PHYSICAL		PHYSICAL	NONE	0	
NPC_GOLD_COLOSSUS_EAT_GOLD_2	NPC_GOLD_COLOSSUS	PURPLE	OTHER	0	4	5	1.25	1	2525				PHYSICAL			NONE	0	
NPC_GOLD_COLOSSUS_WIND	NPC_GOLD_COLOSSUS	DEFAULT	OTHER	0	3	1.5	3.75	-1	2525				PHYSICAL			NONE	0	
NPC_GOLD_COLOSSUS_SPIKES	NPC_GOLD_COLOSSUS	DEFAULT	OTHER	0	0	0.67	1	-1	2525				PHYSICAL		PHYSICAL	NONE	0	
NPC_GIANT_PLANT_BITE	NPC_GIANT_PLANT	WHITE	OTHER	0	3	10	2.5	1	2525				PHYSICAL		PHYSICAL	NONE	0	
NPC_GIANT_PLANT_SPEW_POISON_0	NPC_GIANT_PLANT	GREEN	OTHER	0	3	5	1.25	2	3625	3725	2000		MAGIC		MAGIC	NPC_GIANT_PLANT_SPEW_POISON	0	
NPC_GIANT_PLANT_SPEW_POISON_1	NPC_GIANT_PLANT	GREEN	OTHER	0	3	5	1.25	2	3625	3725	2000		MAGIC		MAGIC	NPC_GIANT_PLANT_SPEW_POISON	0	
NPC_GIANT_PLANT_SPEW_POISON_2	NPC_GIANT_PLANT	GREEN	OTHER	0	3	5	1.25	2	3625	3725	2000		MAGIC		MAGIC	NPC_GIANT_PLANT_SPEW_POISON	0	
NPC_GIANT_PLANT_HOP_FORWARD	NPC_GIANT_PLANT	BLUE	OTHER	0	3	7	7	1	1625	1725	250		PHYSICAL		PHYSICAL	NONE	0	
NPC_GIANT_PLANT_SPAWNER	NPC_GIANT_PLANT	PURPLE	OTHER	0	-1	-1	-1	-1	300				MAGIC		MAGIC	NONE	0	
NPC_GIANT_PLANT_ROOT_0	NPC_GIANT_PLANT_ROOT	DEFAULT	AUTO_ATTACK	0	1	0	0	3			350		PHYSICAL		PHYSICAL	NONE	0	
BOSS_CANT_BE_DISABLED		WHITE	OTHER	0	-1	-1	-1	-1								NONE	0	
SKELETON_KING_0	SKELETON_KING	DEFAULT	AUTO_ATTACK	0	2.3	2.3	0.575	4	1625	1725			PHYSICAL	NECROTIC	PHYSICAL,NECROTIC,RANGED	SKELETON_KING_0	120	
SKELETON_KING_1	SKELETON_KING	WHITE	ACTIVE	1.5	2	-1	-1	1	1625				MAGIC		MAGIC,BASHING,RANGED	NONE	0	
SKELETON_KING_2	SKELETON_KING	GREEN	OTHER	0	3	4	1	2	1625				MAGIC	NECROTIC	MAGIC,NECROTIC	NONE	120	
SKELETON_KING_3	SKELETON_KING	BLUE	OTHER	0	-1	7	1.75	-1	1625					BASHING	PHYSICAL,BASHING,RANGED	NONE	120	
SKELETON_KING_4	SKELETON_KING	PURPLE	OTHER	0	-1	-1	-1	-1			250		MAGIC	FIRE	MAGIC,FIRE	NONE	0	
SKELETON_KING_5	SKELETON_KING	ORANGE	OTHER	0	-1	3	0.75	-1			400		MAGIC	FIRE	MAGIC,FIRE	NONE	0	
SATYR_0	SATYR	DEFAULT	AUTO_ATTACK	0	2.6	3	0.75	4	75	125			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
SATYR_1	SATYR	WHITE	ACTIVE	2	2	-1	-1	1	925	1025			MAGIC	PIERCING	MAGIC,PIERCING,RANGED	SATYR_1	0	
SATYR_2	SATYR	GREEN	OTHER	0	2	7	1.75	2	925	1025			MAGIC	PIERCING	MAGIC,PIERCING,RANGED	SATYR_2	90	
SATYR_3	SATYR	BLUE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SATYR_4	SATYR	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SATYR_5	SATYR	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SATYR_6	SATYR	RED	OTHER	0	-1	-1	-1	-1								NONE	0	LAMB_LOVER
STORM_DRAGON_0	STORM_DRAGON	DEFAULT	AUTO_ATTACK	0	2.6	3	0.75	4	1625	1725			PHYSICAL	ELECTRICAL	PHYSICAL,ELECTRIC,RANGED	STORM_DRAGON_0	90	
STORM_DRAGON_1	STORM_DRAGON	WHITE	ACTIVE	2	2	-1	-1	1	1625	1725		200	MAGIC	ELECTRICAL	MAGIC,ELECTRIC,KNOCKBACK,RANGED	STORM_DRAGON_1	0	
STORM_DRAGON_2	STORM_DRAGON	GREEN	OTHER	0	2	7	1.75	2	1625	1725		300	MAGIC	ELECTRICAL	MAGIC,ELECTRIC,KNOCKBACK,RANGED	NONE	90	
STORM_DRAGON_3	STORM_DRAGON	BLUE	OTHER	0	1	12	3	3	1625	1725			MAGIC	ELECTRICAL	MAGIC,ELECTRIC,RANGED	STORM_DRAGON_3	90	
STORM_DRAGON_4	STORM_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
STORM_DRAGON_5	STORM_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC	ELECTRICAL	MAGIC,ELECTRIC	NONE	0	
NPC_SKELETON_DEER_0	NPC_SKELETON_DEER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	2	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	0	
NPC_SKELETON_DEER_1	NPC_SKELETON_DEER	WHITE	OTHER	0	3	7	1.75	1	75	125			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	0	
NPC_SKELETON_DEER_2	NPC_SKELETON_DEER	GREEN	OTHER	0	-1	-1	-1	-1			300		MAGIC	FIRE	MAGIC,FIRE	NONE	0	
NPC_MUSHROOM_0	NPC_MUSHROOM	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	1625	1725			MAGIC		MAGIC,RANGED	NPC_MUSHROOM_0	0	
UNICORGI_0	UNICORGI	DEFAULT	AUTO_ATTACK	0	3	3.1	0.775	4	75	125	125		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	90	
UNICORGI_1	UNICORGI	WHITE	ACTIVE	1.5	3	-1	-1	1	1625	400		100	PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	0	
UNICORGI_2	UNICORGI	GREEN	OTHER	0	5.5	14	3.5	2	75	125	300		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	90	
UNICORGI_3	UNICORGI	BLUE	OTHER	0	3	14	3.5	3	75				MAGIC			NONE	90	
UNICORGI_4	UNICORGI	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
UNICORGI_5	UNICORGI	ORANGE	OTHER	0	-1	-1	-1	-1								NONE	0	
SNIPER_WOLF_0	SNIPER_WOLF	DEFAULT	AUTO_ATTACK	0	3	3.1	0.775	4	1625	1725			MAGIC		MAGIC,RANGED	SNIPER_WOLF_0	90	
SNIPER_WOLF_1	SNIPER_WOLF	WHITE	ACTIVE	1.5	3	-1	-1	1	1625	3725			MAGIC		MAGIC,RANGED	NONE	0	
SNIPER_WOLF_2	SNIPER_WOLF	GREEN	OTHER	0	3	14	3.5	2	1625	1725			MAGIC			NONE	90	
SNIPER_WOLF_3	SNIPER_WOLF	BLUE	OTHER	0	3	14	3.5	3	1625	1725			MAGIC	PIERCING	MAGIC,PIERCING	NONE	90	
SNIPER_WOLF_4	SNIPER_WOLF	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SNIPER_WOLF_5	SNIPER_WOLF	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
GENIE_0	GENIE	DEFAULT	AUTO_ATTACK	0	3	3.1	0.775	5	1625	1725	250		PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	GENIE_0	120	
GENIE_1	GENIE	WHITE	ACTIVE	0.5	3	-1	-1	2	2525	300	250		PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	GENIE_1	0	
GENIE_2	GENIE	GREEN	OTHER	0	8	-1	-1	-1	1625	1725	125		MAGIC		MAGIC,RANGED	NONE	120	
GENIE_3	GENIE	BLUE	OTHER	0	4	14	3.5	3	1625	300			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	NONE	120	
GENIE_4	GENIE	PURPLE	OTHER	0	1	12	3	4	1625	1725			MAGIC		MAGIC	NONE	120	
GENIE_5	GENIE	ORANGE	OTHER	0	-1	-1	-1	1					MAGIC			NONE	0	
GENIE_6	GENIE	RED	OTHER	0	-1	-1	-1	-1								NONE	0	INDOORSY
NPC_HEAD_CRAB_0	NPC_HEAD_CRAB	DEFAULT	AUTO_ATTACK	0	3	3	0.75	1	350	500			TRUE			NONE	0	
NPC_CLOUD_MONSTER_0	NPC_CLOUD_MONSTER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	2	75	125	125		PHYSICAL		PHYSICAL	NONE	0	
NPC_CLOUD_MONSTER_1	NPC_CLOUD_MONSTER	WHITE	OTHER	0	3	20	5	1	75				MAGIC			NONE	0	
DRAGZILLA_0	DRAGZILLA	DEFAULT	AUTO_ATTACK	0	2.6	3	0.75	3	1625	1725			PHYSICAL		PHYSICAL,RANGED	DRAGZILLA_0	90	
DRAGZILLA_1	DRAGZILLA	WHITE	ACTIVE	0.5	2.6	-1	-1	1	1625		125		MAGIC	FIRE	MAGIC,FIRE,RANGED	NONE	0	
DRAGZILLA_2	DRAGZILLA	GREEN	OTHER	0	2	7	1.75	2	1625	1725			MAGIC	FIRE	MAGIC,FIRE,RANGED,DAMAGE_OVER_TIME	DRAGZILLA_2	90	
DRAGZILLA_3	DRAGZILLA	BLUE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DRAGZILLA_4	DRAGZILLA	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DRAGZILLA_5	DRAGZILLA	ORANGE	OTHER	0	-1	-1	-1	-1								NONE	0	
PIRATE_0	PIRATE	DEFAULT	AUTO_ATTACK	0	2.6	3	0.75	4	925	1025			TRUE	PIERCING	TRUE,PIERCING,RANGED	PIRATE_0	90	
PIRATE_1	PIRATE	WHITE	ACTIVE	1.5	2	-1	-1	1	925	1025	500		TRUE	WATER	TRUE,WATER,RANGED	PIRATE_1	0	
PIRATE_2	PIRATE	GREEN	OTHER	0	2	-1	-1	-1	925				MAGIC			NONE	90	
PIRATE_3	PIRATE	BLUE	OTHER	0	1	12	3	2	925	1025			MAGIC	BASHING	MAGIC,BASHING,RANGED	PIRATE_3	90	
PIRATE_4	PIRATE	PURPLE	AUTO_ATTACK	0	2.6	3	0.75	3	925	1025		350	TRUE	PIERCING	TRUE,PIERCING,RANGED	PIRATE_4	90	
PIRATE_5	PIRATE	ORANGE	AUTO_ATTACK	0	2.6	3	0.75	3	925	1025		350	TRUE	PIERCING	TRUE,PIERCING,RANGED	PIRATE_5	90	
CYCLOPS_WIZARD_0	CYCLOPS_WIZARD	DEFAULT	AUTO_ATTACK	0	2.6	3	0.75	4	925	1025			MAGIC	ELECTRICAL	MAGIC,ELECTRIC,RANGED	CYCLOPS_WIZARD_0	90	
CYCLOPS_WIZARD_1	CYCLOPS_WIZARD	WHITE	ACTIVE	1.5	2	-1	-1	1	925				MAGIC	ELECTRICAL	MAGIC,ELECTRIC,DAMAGE_OVER_TIME,RANGED	CYCLOPS_WIZARD_1	0	
CYCLOPS_WIZARD_2	CYCLOPS_WIZARD	GREEN	OTHER	0	2	7	1.75	2	925				MAGIC	ELECTRICAL	MAGIC,ELECTRIC,RANGED	CYCLOPS_WIZARD_2	90	
CYCLOPS_WIZARD_3	CYCLOPS_WIZARD	BLUE	OTHER	0	1	12	3	3	925		500		MAGIC	ELECTRICAL	MAGIC,ELECTRIC,RANGED	CYCLOPS_WIZARD_3	90	
CYCLOPS_WIZARD_4	CYCLOPS_WIZARD	PURPLE	OTHER	0	0	1	0.25	-1					MAGIC			NONE	0	
DEMON_TOTEM_0	DEMON_TOTEM	DEFAULT	AUTO_ATTACK	0	4	4	1	4	75	125	125		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	45	
