	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	FIGHT_PIT_TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	MAGIC_CRIT	HP_REGEN	ENERGY_REGEN	LIFE_STEAL_RATING	DODGE	IGNORE_MAGIC_RESISTANCE	IMPROVE_HEALING	ARMOR_PENETRATION	ENERGY_CONSUMPTION_REDUCTION	TENACITY	ACCURACY	SKILL_LEVEL
HORNS_OF_WHITE_DEER	GEAR	RED	155	R2_22	3,180,000	31,850,000	4,900	22,050	700		5	4	2																		
ILLUSORY_HURDLE	GEAR	ORANGE	122	R2_13	100,000	3,639,500	830	4,250	500				420														100				
IMPRACTICAL_CHESTPLATE	GEAR	BLUE	22	R1	3,500	21,500	30	280	12								10														
INTIMIDATING_BEARD	GEAR	BLUE	31	R1	20,225	60,250	95	375	24		25	25	25																		
IRON_CLAWS	GEAR	CYAN	146	R2_18	876,000	8,775,000	1,350	6,075	500								340										550.0				
IRON_HELMET_OF_BIKING	GEAR	CYAN	145	R2_17	408,000	12,240,000	2,400	12,000	500			880		19000										200							
IRON_ORE	TRASH	WHITE		R1	2,000	4,000	1	5																							
IVY_LEAGUE_HAIRCUT	GEAR	ORANGE	89	R2_2	120,000	1,424,500	1,535	2,400	500			95																			
JAR_OF_KITTEN_TEAR	GEAR	ORANGE	84	R2_1	97,500	1,195,500	985	2,000	500			25		1200		100															
KEY_TO_THE_KINGDOM	MISC	ORANGE		R2_17	10,000	10,000	100	1,000																							
KINDNESS	GEAR	BLUE	43	R1	7,250	160,000	170	600	60						24				75												
KING_JEFFS_CROSSBOW	GEAR	GREEN	18	R1	837	11,750	40	150	8			6			15				25			40									
LASER_POINTER	GEAR	BLUE	33	R1	10,735	73,000	210	470	28			15				30			25	5											
LASER_POINTER_2_ORDER	GEAR	PURPLE	51	R0_3	21,470	267,000	295	900	120			17				60			50	10											
LASER_POINTER_3_ORDER	GEAR	PURPLE	69	R1_2	42,940	665,000	590	1,750	500			19				90			150	30											
LASER_POINTER_4_ORDER	GEAR	PURPLE	71	R1_3	75,000	728,000	1,670	1,665	500			21				150			250	50											
LAVISHLY_ADORNED_RAPIER	GEAR	PURPLE	64	R1_0	51,450	532,500	895	1,555	440				30		30				150					30							
LAZARUS_BEANS	GEAR	CYAN	136	R2_16	168,000	5,042,000	900	6,110	500					6000					200				150								
LEAD_ZEPPELIN	GEAR	BLUE	32	R1	4,450	66,250	120	355	26		25				9		5		50												
LEGENDARY_QUEST_SKIP	MISC	ORANGE		R1																											
LENSLESS_GLASSES	GEAR	ORANGE	92	R2_3	62,500	1,564,000	275	2,700	100			60																		7	
LICHE_FINGER	GEAR	PURPLE	70	R1_3	33,940	701,000	1,965	1,500	500					300				26			300	100									
LIFEDRINKER	GEAR	PURPLE	70	R1_2	43,925	697,500	1,285	1,400	500		25				50		15						25								
LIFESIPPER	GEAR	GREEN	19	R1	925	13,750	25	150	9						20		5						15								
LIGER_BALM	GEAR	PURPLE	73	R1_3	25,000	785,000	630	1,525	100									25			50			5					15		
LIGHTNING_GREASE	GEAR	ORANGE	109	R2_8	156,250	2,598,500	275	3,250	100				100											85			100		100		
LITTLE_PRICKS	GEAR	ORANGE	104	R2_6	100,000	2,258,500	275	3,250	100				25					75	50												
LOADED_DIE	GEAR	WHITE	2	R1	75	150	9	10	2			3																			
LOAFERS_OF_ALACRITY	GEAR	GREEN	10	R1	225	2,100	9	40	4				6																		
LORD_OF_RIVER	GEAR	RED	154	R2_22	3,180,000	31,850,000	4,900	22,050	700		5	4	2																	200	5
LOST_CONCEPT_ART	GEAR	ORANGE	109	R2_8	156,250	2,598,500	275	3,250	100							100		90	65												
LOST_DISK_OF_POWER	GEAR	PURPLE	73	R1_3	25,000	785,000	630	2,000	100							120															
LOST_GREAVES	GEAR	ORANGE	125	R2_13	100,000	3,914,500	830	4,500	500		300	300	300																		
LUCKY_ORCS_FOOT	GEAR	WHITE	10	R1	310	2,300	50	40	4		2	2	2								120										
MACE_OF_FRIENDSHIP	GEAR	BLUE	22	R1	3,500	21,500	30	250	12						21																
MACGUFFIN_FRAGMENT_45	GEAR	ORANGE	99	R2_5	78,125	1,949,500	275	3,000	100							200														100	
MAD_GODS_MUG	GEAR	CYAN	127	R2_14	132,000	4,107,000	900	4,525	500							1000		100													2
MAGATAMA	GEAR	RED	152	R2_20	1,494,000	14,950,000	2,300	10,350	500			430						200												300	
MAGIC_EIGHT_BALL	GEAR	GREEN	18	R1	537	11,750	40	150	8													30					6				
MAGICAL_CREAM	GEAR	CYAN	148	R2_18	1,620,000	16,250,000	2,500	11,250	500			400		20000				400													
MAGICAL_HATRACK	GEAR	RED	155	R2_22	3,180,000	31,850,000	4,900	21,000	700		5	4	2																		
MAGICAL_PEST_MAST	GEAR	CYAN	143	R2_17	234,000	7,140,000	1,400	7,000	500				400					100						380							
MAGICAL_WATER_BOTTLE	GEAR	CYAN	146	R2_18	876,000	8,775,000	1,350	6,075	500			200		25000		500															
MAI_TAI_OF_IMMUNITY	GEAR	CYAN	138	R2_16	174,000	5,269,500	1,300	6,875	500					6000			220	180													
MANLY_FIRST_AID_KIT	GEAR	CYAN	131	R2_15	150,000	4,506,500	900	5,555	500					8000							1200	1200									
MASK_OF_THE_ANCIENT_KING	GEAR	CYAN	148	R2_18	1,620,000	16,250,000	2,500	11,250	500		500			18000			300														
MELTY_CHOCOLATE_BAR	GEAR	GREEN	20	R1	437	16,000	9	200	10												150										
MIND_MAP	GEAR	ORANGE	112	R2_9	562,500	2,829,000	2,570	3,750	500			140		2200		50															2
MIRACLE_FURNACE_OF_BLACKSMITH	GEAR	CYAN	150	R2_18	3,054,000	30,550,000	4,700	23,500	500					30000		4000	200	200													
MITHRIL_ORE	TRASH	ORANGE		R1	200,000	400,000	40	300																							
MITHRIL_OREEAL	GEAR	PURPLE	70	R1_2	37,000	694,500	710	1,335	500		10	40	10			15			150	30											
MJOLNIRBY	GEAR	PURPLE	57	R1_0	23,750	374,000	640	1,250	280						48				200												
MONSTER_HUNTER_ARMOR	GEAR	ORANGE	85	R2_2	150,000	1,246,000	2,475	2,100	500		50			400	100			20													
MOTIVATIONAL_CASSETTE	GEAR	PURPLE	70	R1_3	33,940	700,000	1,745	1,750	500		10	10	10						600	60											
MUNDANE_MUSHROOMS	GEAR	ORANGE	119	R2_10	100,000	3,377,500	275	4,250	100			260				444									100						
MUSCLE_WAX	GEAR	BLUE	20	R1	500	16,500	80	190	10		10																				
MUSSEL_MILK	GEAR	BLUE	42	R1	7,375	149,000	180	500	54						65						140	50									
MY_FIRST_SHIELD	GEAR	WHITE	2	R1	125	150	9	10	2								2														
MYSTERIOUS_EGG	GEAR	CYAN	144	R2_17	234,000	7,140,000	1,400	5,600	500			300		3000				350													
MYSTICAL_ELVEN_JUNK	GEAR	ORANGE	84	R2_1	97,500	1,195,500	985	2,000	500			25		1000			10	10													
NAUGHTY_TAPESTRY	GEAR	CYAN	131	R2_15	150,000	4,506,500	900	5,000	500									300													
NAVIGATION_TO_THE_PAST	GEAR	CYAN	150	R2_18	3,054,000	30,550,000	4,700	21,150	500				2000	22000													200				5
NECRONOMICON	GEAR	BLUE	30	R1	5,175	55,000	175	335	22			10									120			5							
NEW_KNIGHT_IN_TOWN	GEAR	ORANGE	111	R2_9	562,500	2,756,000	2,925	3,500	500								66	66													
NONSTICK_SHIELD	GEAR	GREEN	27	R1	275	39,500	9	400	17									5													
OFFERING_BLOOD	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_FIRE	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_HAIL	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_KEYSTONE	MISC	WHITE		R1	2,500	5,000	100	800																							
OFFERING_LIGHTNING	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_MAJOR_1	MISC	WHITE		R1	1,250	2,500	50	400																							
OFFERING_MAJOR_2	MISC	WHITE		R1	1,250	2,500	50	400																							
OFFERING_MINOR_1	MISC	WHITE		R1	370	750	15	120																							
OFFERING_MINOR_2	MISC	WHITE		R1	370	750	15	120																							
OFFERING_MINOR_3	MISC	WHITE		R1	370	750	15	120																							
OFFERING_MIST	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_OCEAN	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_RIVER	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_ROCK	MISC	WHITE		R1	620	1,250	25	200																							
OFFERING_TREE	MISC	WHITE		R1	620	1,250	25	200																							
OGRES_BATTERING_RAM	GEAR	CYAN	134	R2_15	156,000	4,823,000	960	4,760	500		220				1000		250														
ORANGE_CHEST_ROLL_X1	MISC	PURPLE		R2_10			1,152	4,000																							
ORB_OF_EVERLASTING_FLAVOR	GEAR	BLUE	34	R1	11,100	79,750	185	450	30			10										90			5						
ORBITAL_KITTY	GEAR	ORANGE	105	R2_6	240,000	2,326,500	830	3,500	500		60	60	60																		5
ORGANIC_BOOK_OF_NATURE	GEAR	ORANGE	102	R2_6	300,000	2,145,000	3,080	3,250	500					1600									40								
ORNATE_CROWN_OF_THE_GM	GEAR	ORANGE	95	R2_3	150,000	1,726,000	1,185	3,000	500			85				100															
OVERPOWERING_FRAGRANCE	GEAR	PURPLE	76	R1_4	93,750	886,000	475	1,715	500					470							250								30		
PAPER_CROWN	GEAR	WHITE	1	R1	26	135	9	10	1		1	1	1																		
PENETRABLE_ARMOR	GEAR	GREEN	20	R1	275	16,000	9	200	10								5														
PETER_PIPERS_PEPPER_SPRAY	GEAR	PURPLE	78	R1_4	31,250	958,000	630	2,000	100		10								200												
PHAT_PANTS	GEAR	ORANGE	108	R2_8	156,250	2,528,000	275	3,250	100					1500				80				50									
PHILTER_OF_PURE_TESTOSTERONE	GEAR	PURPLE	60	R1_0	32,000	435,500	630	1,050	340		25																				
PHOENIX_TALISMAN	GEAR	CYAN	136	R2_16	168,000	5,042,000	900	5,500	500				300				170														
PHOTO_BOMB	GEAR	ORANGE	83	R2_1	40,625	1,150,500	275	2,000	100			30			100																
PIECE_OF_ACOLYTE_STATUE	GEAR	RED	155	R2_21	3,180,000	31,850,000	4,900	22,050	700		1250	1250	1250								30000										
PLASTIC_VAMPIRE_TEETH	GEAR	GREEN	19	R1	950	13,750	25	150	9								-10		100				20								
PLUCKY_HEROINES_SHORTBOW	GEAR	GREEN	18	R1	700	11,750	40	150	8		6	6	14						75												
POCKET_PROTECTOR	GEAR	PURPLE	62	R1_0	23,000	485,000	925	1,240	400			30					40														
POISONED_DAGGER	GEAR	ORANGE	123	R2_13	100,000	3,730,000	830	4,250	500						444															300	
POISONED_SILVER_ACCESSORY_OF_SCORPION	GEAR	RED	153	R2_22	1,524,000	15,275,000	2,350	13,220	500			5	4	1																	
POLITICAL_PLATFORM_SHOES	GEAR	ORANGE	102	R2_6	300,000	2,145,000	3,080	3,250	500						120	120															
PORTABLE_NUTRITIOUS_DIET	GEAR	RED	152	R2_21	1,524,000	15,275,000	2,350	10,575	500		200			26000							14000										
POWER_OF_SCIENCE	GEAR	ORANGE	79	R1_4	75,000	995,000	685	2,000	500		100			1000	22						400										
PRETTY_SWEET_CAPE	GEAR	GREEN	10	R1	401	2,250	40	40	4		2	2	2				5														
PRICKLING_WHIP	GEAR	CYAN	147	R2_18	876,000	8,775,000	1,350	7,595	500						1000	1000									300						3
PRIMAL_ESSENCE	MISC	PURPLE		R1_0	8,000	16,000	30	100	200																						
PROTEIN_POWDER	GEAR	GREEN	10	R1	225	2,100	9	40	4		6																				
PURIFICATION_ROBE	GEAR	CYAN	128	R2_14	138,000	4,205,000	960	4,750	500			200		12000											100						
PURIFYING_TUNING_FORK	GEAR	PURPLE	75	R1_4	93,750	850,500	650	1,800	500							75															
PURPLE_CHEST_ROLL_X1	MISC	PURPLE		R2_10			576	2,000																							
PURPLE_PILLS_OF_POTENCY	GEAR	PURPLE	81	R2_1	55,153	1,080,500	2,490	1,900	500		65																				
PYRAMID_POWER	GEAR	CYAN	150	R2_18	3,054,000	30,550,000	4,700	21,150	500			2000		25000					800						200						
RACING_STRIPES	GEAR	BLUE	20	R1	500	16,500	80	220	10				10																		
RAID_TICKET	MISC	BLUE		R1	100	200		10																							
RATTLING_SABRE	GEAR	ORANGE	85	R2_1	97,500	1,238,500	985	2,100	500			25		600	100																
RAW_EGG	GEAR	GREEN	12	R1	550	3,600	9	60	5					250																	
READIN_RAIN_BOW	GEAR	PURPLE	80	R2_1	121,875	1,039,000	1,860	1,800	500				65																		
REEL_ADVENTURERS_RIDES	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_ANCIENT_CODE	REEL	CYAN		R2_14	346,000	3,470,000	750	6,120	200																						
REEL_ANCIENT_COIN	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_BAG_O_HAMMERS	REEL	GREEN		R1	300	29,600	9	320	2																						
REEL_BALANCE_OF_LIFE	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_BANANA_PEEL_MOUNTAIN	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_BEARLY_THERE_BOOTS	REEL	ORANGE		R2_9	257,100	991,200	275	3,000	100																						
REEL_BIG_STABBY_SPEAR	REEL	PURPLE		R1_2	9,000	455,800	630	1,120	112																						
REEL_BLACKBERRY_JAM	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_BLACKSMITH_BREW	REEL	CYAN		R2_14	346,000	3,470,000	750	6,120	200																						
REEL_BLACKSTEEL_BLADE	REEL	PURPLE		R1_3	25,000	733,000	630	1,360	100																						
REEL_BLOODY_BAT	REEL	WHITE		R1	95	1,500	9	20	2																						
REEL_BLUNT_BLADE	REEL	ORANGE		R2_13	130,000	1,304,900	275	3,600	100																						
REEL_BONE_CRUSHING_PLIERS	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_BOOM_BOX	REEL	ORANGE		R2_8	156,250	891,200	275	2,800	100																						
REEL_BRACELET_OF_LIGHTNING	REEL	CYAN		R2_16	408,000	4,080,000	750	7,200	4																						
REEL_BRAIN_GUARD_9000	REEL	ORANGE		R2_9	187,500	1,017,400	275	3,200	100																						
REEL_BUNNY_BLADE	REEL	CYAN		R2_15	188,000	1,890,000	600	4,000	100																						
REEL_CHUGG_BOOTS	REEL	PURPLE		R1_3	25,000	666,500	630	1,360	100																						
REEL_CHUNKY_FEMUR	REEL	WHITE		R1	67	1,500	9	20	2																						
REEL_CLOAK_OF_THE_OWL	REEL	ORANGE		R2_10	112,000	1,126,700	275	3,400	100																						
REEL_CLOUDY_MONOCULAR_TELESCOPE	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_COG_NITIVE_MASK	REEL	CYAN		R2_15	192,000	1,930,000	600	4,000	100																						
REEL_CRYSTAL_MUSHROOM	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_DANCERS_BRA	REEL	CYAN		R2_18	780,000	7,800,000	1,200	6,000	4																						
REEL_DEATH_METAL_BLADE	REEL	BLUE		R1	5,000	154,300	80	480	52																						
REEL_DECODER_RING	REEL	BLUE		R1	4,250	78,500	80	360	26																						
REEL_DEDICATED_BROZERKER	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_CENTAUR_OF_ATTENTION	REEL	RED		R2_20	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_COSMIC_ELF	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_DEEP_DRAGON	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_DEMON_TOTEM	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_DRAGON_LADY	REEL	RED		R2_20	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_GENIE	REEL	RED		R2_20	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_MEDUSA	REEL	RED		R2_20	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_NINJA_DWARF	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_ORC_MONK	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_ROLLER_WARRIOR	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_SATYR	REEL	RED		R2_20	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_SHADOW_ASSASSIN	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_SNAP_DRAGON	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DEDICATED_UNSTABLE_UNDERSTUDY	REEL	RED		R2_21	1,300,000	13,000,000	2,000	7,000	300																						
REEL_DENSE_CAKE_OF_HATE	REEL	CYAN		R2_14	168,000	1,685,000	600	3,800	100																						
REEL_DIPLOMATIC_IMMUNITY	REEL	PURPLE		R0_3	9,000	254,700	215	800	104																						
REEL_DIRK_OF_DISEMBOWELING	REEL	PURPLE		R0_3	6,500	215,000	215	640	100																						
REEL_DIRTY_BASTARD_SWORD	REEL	ORANGE		R2_3	62,500	557,500	275	2,280	100																						
REEL_DRACONIAN_DISH	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_DRAGON_LEATHER_TIGHTS	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_DRAGON_SAND_BOOTS	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,145	4																						
REEL_DRAGON_SCALE	REEL	PURPLE		R1_3	25,000	761,200	630	1,440	100																						
REEL_DRAGON_SCALE_GROVE	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_DRAGONS_BLADE	REEL	CYAN		R2_16	408,000	4,080,000	750	7,200	4																						
REEL_DROP_OF_MOONLIGHT	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_END_CENTURY_FLAME_RADIATOR	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_ENIDS_EXPENSIVE_ELIXIR	REEL	PURPLE		R1_0	18,750	301,000	250	720	200																						
REEL_ESCUTCHEON_OF_EYES	REEL	CYAN		R2_15	366,000	3,675,000	750	6,480	200																						
REEL_EXOTIC_FAN	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_EXPLOSIVE_CANNON	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_EYE_OF_THE_BEHOLDER	REEL	ORANGE		R2_5	78,125	670,700	275	2,400	100																						
REEL_EYE_ON_THE_PRIZE	REEL	ORANGE		R2_9	187,500	1,017,400	275	3,200	100																						
REEL_FAMILY_TREE_OF_UMLAUT	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_FEATHER_OF_PHOENIX	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_FEATHER_WEIGHT_FOIL	REEL	CYAN		R2_15	366,000	3,675,000	750	6,480	200																						
REEL_FEATHER_WEIGHT_PAULDRONS	REEL	CYAN		R2_14	346,000	3,470,000	750	6,120	200																						
REEL_FINS_OF_SEA_DRAGON	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_FLAIL_OF_TOTAL_DEVASTATION	REEL	BLUE		R1	6,000	152,900	80	480	52																						
REEL_FLATTERING_MIRROR	REEL	ORANGE		R2_13	130,000	1,304,900	275	3,600	100																						
REEL_FLOPPIN_FLIP_FLOPS	REEL	ORANGE		R2_10	114,000	1,155,200	275	3,600	100																						
REEL_GIRDLE_OF_VICTORY	REEL	ORANGE		R1_4	31,250	895,800	275	1,600	100																						
REEL_GLASS_CASE_OF_EMOTION	REEL	ORANGE		R2_2	50,000	490,900	275	2,040	100																						
REEL_GLORY_SEEKER	REEL	ORANGE		R2_5	78,125	670,700	275	2,400	100																						
REEL_GOBLIN_WHACKER	REEL	WHITE		R1	75	1,500	9	20	2																						
REEL_GOLD_AX_SILVER_AX	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_GOLD_RUSH	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_GOOD_SLEEPING_BED	REEL	CYAN		R2_18	780,000	7,800,000	1,200	6,750	4																						
REEL_GOURD	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_GREAVES_OF_PLEIAS	REEL	CYAN		R2_16	408,000	4,080,000	750	7,200	4																						
REEL_GRIEVOUS_BODILY_HARM	REEL	PURPLE		R1_2	10,000	521,400	630	1,040	196																						
REEL_HAMMER_OF_WICKED_BEATS	REEL	PURPLE		R1_0	13,250	239,500	250	640	200																						
REEL_HAMMER_TIME	REEL	ORANGE		R2_6	100,000	753,700	275	2,600	100																						
REEL_HANDY_RASP	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_HEART_HAT	REEL	CYAN		R2_15	188,000	1,890,000	600	4,000	100																						
REEL_HEART_HEALTH_CANDY	REEL	ORANGE		R2_10	114,000	1,155,200	275	3,600	100																						
REEL_HELMET_OF_FORESIGHT	REEL	CYAN		R2_16	408,000	4,080,000	750	7,200	4																						
REEL_HERMITS_PILLS	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT	REEL	ORANGE		R2_5	78,125	670,700	275	2,400	100																						
REEL_HORNS_OF_WHITE_DEER	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_INTIMIDATING_BEARD	REEL	BLUE		R1	10,000	54,200	80	300	20																						
REEL_IRON_HELMET_OF_BIKING	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_IVY_LEAGUE_HAIRCUT	REEL	ORANGE		R2_2	50,000	474,900	275	1,920	100																						
REEL_JAR_OF_KITTEN_TEAR	REEL	ORANGE		R2_1	40,625	928,400	275	1,600	100																						
REEL_KINDNESS	REEL	BLUE		R1	3,000	144,000	80	480	48																						
REEL_LASER_POINTER	REEL	BLUE		R1	6,250	65,700	80	300	24																						
REEL_LEAD_ZEPPELIN	REEL	BLUE		R1	3,500	59,600	80	300	22																						
REEL_LIFEDRINKER	REEL	PURPLE		R1_2	11,000	547,800	630	1,120	196																						
REEL_LORD_OF_RIVER	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_LOST_GREAVES	REEL	ORANGE		R2_13	130,000	1,304,900	275	3,600	100																						
REEL_LUCKY_ORCS_FOOT	REEL	WHITE		R1	100	2,000	9	30	2																						
REEL_MAGATAMA	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_MAGIC_EIGHT_BALL	REEL	GREEN		R1	100	4,000	9	120	2																						
REEL_MAGICAL_CREAM	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_MAGICAL_HATRACK	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_MAGICAL_PEST_MAST	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_MAI_TAI_OF_IMMUNITY	REEL	CYAN		R2_16	210,000	2,110,000	600	4,400	4																						
REEL_MASK_OF_THE_ANCIENT_KING	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_MIRACLE_FURNACE_OF_BLACKSMITH	REEL	CYAN		R2_18	780,000	7,800,000	1,200	6,000	4																						
REEL_MJOLNIRBY	REEL	PURPLE		R1_0	6,000	124,700	250	800	100																						
REEL_MYSTERIOUS_EGG	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_MYSTICAL_ELVEN_JUNK	REEL	ORANGE		R2_1	40,625	928,400	275	1,600	100																						
REEL_NAVIGATION_TO_THE_PAST	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_NECRONOMICON	REEL	BLUE		R1	4,500	49,500	80	240	18																						
REEL_OGRES_BATTERING_RAM	REEL	CYAN		R2_15	192,000	1,930,000	600	4,000	100																						
REEL_ORB_OF_EVERLASTING_FLAVOR	REEL	BLUE		R1	3,000	71,700	80	360	26																						
REEL_ORBITAL_KITTY	REEL	ORANGE		R2_6	100,000	775,500	275	2,800	100																						
REEL_ORNATE_CROWN_OF_THE_GM	REEL	ORANGE		R2_3	62,500	575,400	275	2,400	100																						
REEL_PIECE_OF_ACOLYTE_STATUE	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_PLASTIC_VAMPIRE_TEETH	REEL	GREEN		R1	500	12,300	9	120	6																						
REEL_POCKET_PROTECTOR	REEL	PURPLE		R1_0	6,000	399,000	630	1,040	100																						
REEL_POISONED_SILVER_ACCESSORY_OF_SCORPION	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_PORTABLE_NUTRITIOUS_DIET	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_POWER_OF_SCIENCE	REEL	ORANGE		R1_4	31,250	895,500	275	1,600	100																						
REEL_PRETTY_SWEET_CAPE	REEL	GREEN		R1	100	800	9	30	2																						
REEL_PURIFICATION_ROBE	REEL	CYAN		R2_14	168,000	1,685,000	600	3,800	100																						
REEL_PYRAMID_POWER	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_RATTLING_SABRE	REEL	ORANGE		R2_1	55,705	981,900	275	1,680	100																						
REEL_REMOTE_COMMUNICATION_FLOWER	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_RING_OF_TEMPTATION	REEL	CYAN		R2_16	214,000	2,155,000	600	4,400	4																						
REEL_ROCKET_CLOAK	REEL	CYAN		R2_14	346,000	3,470,000	750	6,120	200																						
REEL_ROD_OF_WITTY_PARTY_BANTER	REEL	PURPLE		R0_3	7,750	240,300	215	720	96																						
REEL_RUBY_FLIP_FLOPS	REEL	CYAN		R2_14	172,000	1,725,000	600	4,000	100																						
REEL_SAMURAI_SWORD	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_SAND_STORM	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,400	4																						
REEL_SANDWICH_OF_UNSURPASSED_MEATINESS	REEL	PURPLE		R1_0	12,000	363,700	630	1,040	224																						
REEL_SECRET_HAND_SCROLL	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_SHINING_HOLY_TREE	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_SHINING_LIGHT_OF_FIREFLY	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_SHINY_BOTTLECAP	REEL	GREEN		R1	62	2,000	9	30	2																						
REEL_SHOES_OF_THE_MAD_GOD	REEL	ORANGE		R2_8	156,250	867,200	275	2,800	100																						
REEL_SHOVEL	REEL	PURPLE		R1_0	10,000	338,900	250	880	196																						
REEL_SHRIMPISH_CREATURE	REEL	RED		R2_22	780,000	7,800,000	1,200	4,200	200																						
REEL_SICK_MULLET	REEL	ORANGE		R2_6	100,000	775,500	275	2,800	100																						
REEL_SIDE_OF_BACON	REEL	GREEN		R1	125	7,700	9	105	2																						
REEL_SOUL_FOR_POWER_VOLUME_45	REEL	CYAN		R2_15	366,000	3,675,000	750	6,480	200																						
REEL_SPARKLE_PONY_KEYCHAIN	REEL	GREEN		R1	75	2,100	9	30	2																						
